News Title,Content
 Plea in Delhi HC seeks to stop entry of J&amp;K MPs in Parliament | India News - Times of India,"NEW DELHI: A petition was filed in Delhi high court seeking direction to stop the entry of the MPs from the erstwhile state of Jammu and Kashmir in the Parliament, contending they lost their locus standi after the bifurcation of the state into two union territories. According to the petitioner, on August 5, 2019, the state of Jammu and Kashmir was disbanded and in its place, two Union Territories were formed, therefore the MPs representing the State in the Rajya Sabha and Lok Sabha lost their locus standi to sit in the Indian Parliament. The plea, filed by one professor from Jammu and Kashmir, Abdul Gani Bhat, who has sought the 10 Members of Parliament from the erstwhile Jammu and Kashmir state should be stopped from entering and occupying seats in the Indian parliament forthwith. The petitioner, in his plea, said that MPs are representatives of the people of their States or Union territories. ""But when there is no State or Union territory there cannot be any representation of that non-existent State or Union territory in the Indian Parliament. On 5th August 2019, the State of J&K was disbanded and in its place, two Union territories were formed. Accordingly, the MPs representing the State in the Rajya Sabha and Lok Sabha lost their locus standi to sit in the Indian Parliament,"" the petitioner said. He further added that their continuation in the Parliament is illegal and unconstitutional for all practical purposes. The petitioner said that Parliament of India abrogated the temporary Article 370 of the Constitution of India, canceled separate constitutions, separate flag, separate laws and separate status of the State of Jammu and Kashmir and reorganised the State into two Union territories of Ladakh and Jammu-Kashmir. He further added that the four Rajya Sabha members and six Lok Sabha members from the erstwhile State continued holding their seats in the Indian Parliament, unabashedly, illegally and immorally, even after the August 5, 2019, when the State of J&K ceased to exist, and continued drawing on the Union public Exchequer and enjoying facilities and perks, without any right, logic or reason, which is a total lossand total drain of the Union Public exchequer. ""Thus the presence of the 10 members in the Indian parliament from the erstwhile State is immoral, illegal and unconstitutional,"" the petition said. Download The Times of India News App for Latest India News."
 Ajay Bisaria appointed India's next High Commissioner to Canada | India News - Times of India,"NEW DELHI: India's High Commissioner to Pakistan, Ajay Bisaria has been appointed as the next High Commissioner of India to Canada, Ministry of External Affairs (MEA) announced on Friday. An IFS officer of the 1987 batch, Bisaria is expected to take up the assignment shortly.  Amid heightened tensions between India and Pakistan after New Delhi scrapped Article 370, a constitutional provision that granted special status to Jammu and Kashmir last year, Bisaria had returned to New Delhi after Pakistan urged India to recall its envoy.  From February 2017 to November 2019, Vikas Swarup served as India's High Commissioner to Canada. Swaroop is now secretary (West) at the Ministry of external affairs.  On January 28, it was reported that senior diplomat Taranjit Singh Sandhu has been appointed as the next Indian ambassador to the United States.  He will be replacing Harsh Vardhan Shringla, who has been serving for the post since January 2019. Download The Times of India News App for Latest India News."
" President Ram Nath Kovind terms CAA 'historic', opposition members protest | India News - Times of India","President Ram Nath Kovind on Friday hailed the contentious Citizenship Amendment Act as ""historic"" in his address to the joint sitting of both houses of Parliament, prompting protests by some opposition members. He also said that debate and discussion on any issue strengthens democracy while violence during protests weaken it. ""The Citizenship Amendment Act is a historic law. It has fulfilled wishes of the Father of the Nation Mahatma Gandhi,"" he said. As soon as the president made these remarks, some opposition members shouted ""shame, shame"" slogans and also displayed banners. Modi govt changed emotional disconnect with Northeast: President KovindKovind also made it clear that the procedure to grant citizenship to people of all religions and those who have faith in India and keen to take Indian citizenship remains as it was. ""Debate and discussions strengthen democracy but violence during protests weaken democracy,"" he said without directly referring to the anti-CAA protests in the country some of which have witnessed violence. In a reference to abrogation of Article 370, Kovind said there is happiness among people of India that people in Jammu and Kashmir and Ladakh have got rights on par with the rest of the country. The President said Parliament has created record in the first seven months of the new government headed by Narendra Modi by enacting several landmark legislations. ""My government is taking strong steps for making this decade as India's decade and this century as India's century,"" he said. Kovind also condemned the atrocities against minorities in Pakistan and urged the international community to take necessary action. The President said the creation of the post of Chief of Defence Staff and the Department of Military Affairs will bring synergy among three services of the armed forces and speed up their modernisation. On steps to tackle terrorism, he said the Modi government has given a free hand to security forces to curb the menace. Kovind also said the government was working for security of women and will set up over 1000 fast track courts to dispose of cases of crime against women. In Video:Wish of Mahatma Gandhi has been fulfilled through enactment of CAA: President Ram Nath KovindDownload The Times of India News App for Latest India News."
" Abrogation of Article 370 and 35A paved way for equal development of J&amp;K, Ladakh: Ram Nath Kovind | India News - Times of India","NEW DELHI: Addressing the joint sitting of both houses at the beginning of the Budget session, President Ram Nath Kovind on Friday said that the abrogation of Article 370 and 35A of the Constitution ""paved the way for equal development of Jammu and Kashmir and Ladakh."" ""The abrogation of Article 370 and Article 35A of the Constitution through two-thirds majority by both the Houses of Parliament is not only historic but it has also paved the way for equal development of Jammu and Kashmir and Ladakh,"" Kovind said. ""Fast-paced development of Jammu-Kashmir and Ladakh, protecting its culture and traditions, transparent and honest administration and boosting the democracy, is among the priorities of my government,"" he added. He earlier expressed happiness over the pace and amount of work done by the Parliament in the first session. ""I am pleased to say that in the past seven months the Parliament has set new milestones of work in terms of work done by it. The work done by the Parliament in the first session of this Lok Sabha is a record for the past seven decades,"" Kovind said. The Union Budget will be presented on Saturday. The first phase of the session will conclude on February 11, while the second part of the session will begin from March 2 and end on April 3. Download The Times of India News App for Latest India News."
 Hope ‘sabka...’ motto guides CAA: UK | India News - Times of India,"NEW DELHI: Outgoing British high commissioner Dominic Asquith Thursday expressed hope the Indian government will continue to address the CAA-related issues in the spirit of its manifesto commitment of “with all, development for all and trust of all”. He also said that even after Brexit, UK will remain India’s most important European partner and that the two sides will see expansion of trade diplomatic and security activities. “There is protest in every single democracy. I refer back to the ‘with all, development for all, and trust of all (sabka saath, sabka vikas, sabka vishwas)’ as the objective set by this government and I am sure that in that ‘trust of all’ (is) the trust that it will be addressing the concerns that have been expressed about the CAA. But that is for the Indian government to deal with,” he said. He also said the British side had not received any proposal from India to visit J&K following the repeal of Article 370 and that UK diplomats remained willing to visit J&K. Briefing the media, he also expressed regret over threats that, he said, Indian high commission may have felt because of violent protests on its premises. “I am glad to note that the last two protests have passed off without serious concern. That balance between the right to protest and ensuring that they don’t cross the line to illegality is a balance that is always difficult to maintain,” he said, adding that Metropolitan Police has the responsibility to do so. On the anti-CAA resolutions in the European parliament, he said that parliaments as key democratic institutions have the habit to debate a variety of subjects. Download The Times of India News App for Latest India News."
 Feel foreign forces behind creating misunderstanding over CAA to weaken India: Rajnath Singh | India News - Times of India,"NEW DELHI: Senior BJP leader and Defence minister Rajnath Singh on Thursday claimed that he felt ""foreign forces"" were trying to ""weaken"" India by ""misleading"" people against the amended citizenship law. Addressing an election meeting in Jangpura Assembly constituency, Singh reiterated that the Citizenship (Amendment) Act was not going to take away any Indian Muslim's citizenship but still misunderstanding was being created among them. ""No Indian citizen including Muslims will loose their citizenship due to the Citizenship Amendment Act (CAA). Still, if the citizenship of a Muslim is questioned by anyone, the BJP will stand with him,"" he said. ""Misunderstanding is being spread to mislead the people. I feel there certainly is the hand of foreign forces behind this, who want to weaken India. The decision is to be made by you, where do you want the country to head,"" Singh said. He said India is not a Hindu nation and its history is written with love. ""India is not a Hindu nation, it's a secular state. Some people are trying to write history of the country through the ink of hatred. But we have scripted our history through the ink of love and affection,"" the Union minister said. He said around 600 Pakistani Muslims were given Indian citizenship in the last five-six years, asserting that the CAA was not against the minority community in India. ""We have not committed any crime by giving citizenship to minorities including Hindus and Sikhs persecuted in Pakistan, Bangladesh and Afghanistan. We are not the people who practice Hindu-Muslim politics,"" he said. Singh also said political parties were free to discharge their duties as the Opposition but they also needed to keep in mind ""their duty towards the nation in terms of the CAA"". Seeking vote for the BJP, he slammed the Kejriwal government alleging that it not only failed to fulfil its promises with the people of Delhi but also did not implement the Modi government's schemes for them including the Ayushman Bharat health scheme. ""No leader in a democracy has the right to cause loss of people for his own benefit. But he (Kejriwal) did this by obstructing the Ayushman Bharat and other schemes of the Centre, thinking Prime Minister Narendra Modi will become popular among the people,"" Singh said. He cited the Modi government's achievements, including abrogation of Article 370 provisions, and said Kashmir will witness ""such a development"" in coming years that even people of Pakistan Occupied Kashmir (PoK) will demand to merge with India. Download The Times of India News App for Latest India News."
 Hope Indian govt will address concerns on CAA: UK | India News - Times of India,"NEW DELHI: Amid anti-CAA protests in India, the UK on Thursday said it hopes that the Indian government will address concerns of the people over the Citizenship Amendment Act (CAA) as its manifesto commitment is ""with all, development for all and trust of all"". Outgoing British High Commissioner to India Dominic Asquith also said the British side is ""very interested"" in a visit to the Kashmir Valley and has a standing request for it. He also said the British side had not received any request from the Indian side to visit Kashmir following the abrogation of Article 370 provisions. At an interaction with journalists here, the British envoy also expressed ""regret"" over violent protests on the premises of the Indian mission in London last year. Asked about the protests in India over the Citizenship (Amendment) Act, Asquith said, ""We have noted what the government and Mr. Modi say about together with all, development for all, and trust of all (reference to sabka saath, sabka vikas, sabka vishvas) and I believe that is the manifesto commitment of this government."" ""There is protest in every single democracy...I refer back to the 'with all, development for all, and trust of all' as the objective set by this government and I am sure that in that 'trust of all' (is) the trust that it will be addressing the concerns that have been expressed about the CAA. But that is for the Indian government to deal with,"" Asquith said. On the anti-CAA resolutions in the European Parliament, he said parliaments as key democratic institutions have the habit to debate a variety of subjects. On the eve of Britain's historic departure from the European Union, Asquith stressed that the UK will remain the most important European partner of India. There will be an expansion of diplomatic and trade activity, he said. Asquith also expressed support for permanent membership of the United Nations Security Council (UNSC) for India. Asked when will British Prime Minister Boris Johnson visit India, the envoy said he would visit some time this year. ""He (Johnson) said he wants to come. I would be very surprised if you don't see him or meet him sometime this year,"" Asquith told reporters. Talking about the issue of security of the Indian High Commission in London, he reiterated the UK's commitment to the obligations to make sure that diplomatic premises and staff are not threatened. He also expressed regret over ""any threat the Indian diplomats may have felt as a result of protests in August and September"". ""I am glad to note that the last two protests have passed off without any serious concern. That balance between the right to protest which in a democratic society is very important and ensuring that protests don't cross the line to illegality is a balance that is always difficult to maintain,"" he said, adding that the Metropolitan Police has the responsibility to do. Download The Times of India News App for Latest India News."
Joint anti-CAA motion set for debate in European Parliament - Times of India,"LONDON: A joint motion, combining five different resolutions tabled by Members of the European Parliament (MEPs) against India's Citizenship Amendment Act (CAA), has been placed on the final agenda for debate at the Plenary session in Brussels on Wednesday. The motion takes note of the United Nations High Commissioner for Human Rights (UNHCR) statement last month, which described the CAA as ""fundamentally discriminatory in nature"", and also of other UN as well as the European Union (EU) guidelines on human rights as it calls on the Indian government to ""repeal the discriminatory amendments"". The debate on CAA on Wednesday will follow the European Parliament's historic ratification of the Brexit bill, under which the UK is set to formally leave the economic bloc on Friday. ""While the CAA's stated goal of protecting persecuted groups is welcome, an effective national asylum and refugee policy should be just and holistic in nature and apply to all those in need,"" notes the motion, which describes the CAA as ""discriminatory in nature and dangerously divisive"". The Indian government has maintained that the CAA, which was passed by the Indian Parliament last month, is an internal matter of the country and stressed that the goal is to protect the oppressed minorities of neighbouring countries. It has been extremely critical of the move in Brussels, which the European Commission – the executive arm of the economic bloc – has sought to distance itself from. Lok Sabha Speaker Om Birla on Monday wrote to European Parliament President David Maria Sassoli over the resolutions, saying it is inappropriate for one legislature to pass judgement on another and the practice can be misused by vested interests. ""As members of Inter Parliamentary Union, we should respect sovereign processes of fellow legislatures, especially in democracies,"" Birla said in the letter. The European Parliament motion is critical of any protection being denied to Muslims and that even though India also shares a border with Bhutan, Burma, Nepal and Sri Lanka, the CAA does not bring Sri Lankan Tamils under its purview, who form the largest refugee group in India and who have been resident in the country for over 30 years. ""Amnesty International India has pointed out that the CAA does not bring under its purview other persecuted minorities, including Muslim populations such as the Rohingya in Burma, Ahmadis in Pakistan, Hazaras in Afghanistan and Bihari Muslims in Bangladesh,"" it notes. There is also a reference to the Indian government's ""push"" for a nationwide citizenship verification process, the National Register of Citizens (NRC), which it says ""aims to strip Muslims of their citizenship rights while protecting those of Hindus and other non-Muslims"". The motion combines the separate resolutions tabled by the Group of the Progressive Alliance of Socialists and Democrats in the European Parliament (S&D), Group of the European People's Party (Christian Democrats) (PPE), Group of the Greens/European Free Alliance (Verts/ALE), Renew Europe Group (Renew) and European United Left/Nordic Green Left (GUE/NGL) Group, representing around 560 of a total 751 MEPs. A sixth group, the European Conservatives and Reformists Group (ECR), had withdrawn its resolution and references to the revocation of Article 370 in Jammu and Kashmir in some of the resolutions have not found their way into the final motion. Such a move, which has been characterised under the ""Relations with Asian countries"" section by the economic bloc, are used as a basis for engagement of EU member countries with specific nations. If it is passed during a vote scheduled on Thursday, it will be formally sent to the Indian government and Parliament as well as to the European Commission chiefs. While EU officials are keen to highlight that the motion reflects individual views of MEPs and does not reflect an EU-wide stance, the impact of the motion is likely to resonate with the EU-India relationship as the motion notes that the Strategic Partnership between the European Union and India is based on the shared values of democracy and respect for human rights. Download The Times of India News App for Latest World News."
"Rajasthan CM: Centre fails on all fronts, adopts diversionary tactics | Jaipur News - Times of India","JAIPUR: Chief minister Ashok Gehlot claimed that the NDA government which had failed on all fronts are now adopting diversionary tactics. He was speaking at the Youva Aakrosh rally attended by Congress leader Rahul Gandhi at Ram Niwas Bagh in Jaipur on Tuesday. He said the contentious issues like Citizenship Amendment Act (CAA), NRC, Article 370 and mandir etc are raked up to divert the attention of the people from the real issues of unemployment, economic crisis, price rise and farm distress. Gehlot said the NRC is an impractical proposition. Assam is the best example where even the BJP has rejected the NRC, he said. He exhorted the youth to take the message of Rahul Gandhi to universities, colleges, villages and panchayats to defeat the designs of the fascist forces. Pradesh Congress Committee president and deputy chief minister Sachin Pilot alleged that the ruling dispensation at the Centre is unconcerned about joblessness and economic slowdown. The youth are at the receiving end of Modi government. It has been trying to suppress the youth by using police. Even colleges and universities were not spared, he said. Sachin said the mood of the nation is changing and tide is turning against the ruling dispensation. Download The Times of India News App for Latest City News."
 Oxford picks ‘samvidhaan’ as its Hindi word for 2019 | India News - Times of India,"NEW DELHI: Oxford University Press (OUP) on Tuesday named ‘Samvidhaan’ (Constitution) the Oxford Hindi Word of 2019, saying it received widespread attention in the year which was witness to the spirit of the Indian Constitution being embraced across segments of society. It said that the word was chosen as 2019 saw the values of democracy, secularism, justice, liberty, equality and fraternity being tested on the touchstone of the Constitution or ‘Samvidhaan’. The Oxford Hindi Word of the Year is a word or expression that has attracted a great deal of attention and reflects the ethos, mood, or preoccupations of the past year. OUP said ‘Samvidhaan’ means a “body of fundamental principles or established precedents according to which a state or other organisation is acknowledged to be governed”. The word ‘Samvidhaan’ first received widespread attention in August 2019, with the abrogation of two key constitutional provisions — Article 370 and Article 35(A) of the Indian Constitution— which effectively removed the special status granted to J&K. Download The Times of India News App for Latest India News."
