News Title,Content
" Surgical strikes sent Pakistan a message, says Army chief | India News - Times of India","NEW DELHI: There are enough viable and effective options to teach punitive lessons to Pakistan for aiding and abetting cross-border terrorism without crossing its nuclear red-lines, like it was done during the ""surgical strikes"" of September 2016 and the Balakot air strikes in February last year, Army chief General Manoj Mukund Naravane said on Friday. The new Army chief told TOI that the strikes sent an unequivocal message to Pakistan, which may have re-activated the JeM terror facility at Balakot, that India ""can take down"" terror camps, infrastructure and launch pads across the border. ""The strikes definitely achieved a lot. It was a big message to Pakistan that it cannot operate with impunity,"" said General Naravane, adding Islamabad would be ""cautious before it thinks of doing anything escalatory"" in future. Pakistan, of course, often indulges in nuclear sabre-rattling, brandishing its 70-km range Nasr (Hatf-IX) nuclear missiles as an effective battlefield counter to India's ""Cold Start"" conventional war strategy. Pakistan PM Imran Khan, after the Modi government abrogated J&K's special status in August, even warned of a nuclear conflagration that would spill beyond the subcontinent if the international community did not pressure India on Kashmir. Brushing all this aside, General Naravane said, ""Historically, nuclear weapons have been a good deterrence, and that is where their role ends…We have carried out (cross-border) operations on two-three occasions without nuclear (weapons) coming into play."" Though General Naravane asserted violence levels have significantly reduced in J&K after the reading down of Article 370, and the law and order situation was ""set to further improve"", the Army's latest assessment is that there are 250-270 terrorists ""concentrated"" across the Line of Control (LoC) in areas south of the Pir Panjal mountain range, with another 160-190 to the north of it. ""There are many terrorists waiting across ready to infiltrate … they keep trying every day and we keep foiling them. There are certain foreign terrorists, even non-Pakistani ones, among them. We are keeping a close watch on the terror camp and launch pads across the LoC, though many are makeshift and keep changing their locations,"" said the Army chief. The defence establishment is much more positive about the situation along the Line of Actual Control (LAC) with China, especially after the first informal summit between PM Narendra Modi and Chinese President Xi Jingping at Wuhan in April 2018 led to ""strategic guidance"" to the two militaries to manage and defuse troop face-offs during patrolling in accordance with existing protocols and mechanisms. But India must be ""firm in its resolve and be assertive about its claims, without being aggressive"", while working towards solving the vexed boundary issue with China. ""For several years now, we have been focusing on improving our infrastructure and capabilities along the `northern borders' with China. We must be prepared for all eventualities. If you want peace, you must be prepared (for war),"" said General Naravane. It's virtually ""impossible for the Army to guard every inch"" of the borders with China, which are longer with ""more inhospitable terrain"" than the borders with Pakistan. So, the aim is to ""be strong in important areas"" along the LAC, while mounting ""strong surveillance backed with quick-reaction capabilities"" in other parts. ""A strong infrastructure, surveillance and resolve is needed to guard the northern borders,"" he said. Download The Times of India News App for Latest India News."
"IAF lacked ODL during Balakot strike, fighter jets went incommunicado | Chandigarh News - Times of India","CHANDIGARH: Absence of operational data-link (ODL) was one of the biggest hurdles that the Indian Air Force (IAF) faced during the Pakistan Air Force retaliation on February 27, a day after the IAF carried out Balakot air strike deep inside Pakistan territory on Jaish-e-Mohammed terror training camp. Pakistan Air Force had better electronic warfare jammers, said Pravin Sawhney, former Army officer and an independent military analyst. “In so far as Wing Commander Abhinandan is concerned, he was captured by Pakistan primarily because he could not hear the instructions given by the ground controller for him to come back. Why? Because he did not have the software defined radio which obviate the noise clutter,” he added. Speaking at the Military Literature Festival on Saturday, Sawhney warned, “Electromagnetic spectrum has a very important role to play in war. The threat to India is not Pakistan, threat to India is interoperability.” Citing one more such example, Sawhney claimed that on February 27, IAF Sukhois took off but they did not know where to go and they actually came back. “As the Pakistan Air Force had better electronic warfare jammers, they were able to disturb the communication and Sukhoi-30 pilots were absolutely incommunicado,” he added. The former Army officer was one of the panellists at the session titled, “Understanding The Message of Balakot”. Former IAF chief Air Chief Marshal B S Dhanoa (retd) under whose leadership Balakot air strike was carried out was also one of the panellists in the discussion, besides former vice chief of IAF, Air Marshal K K Nowhar (retd) and Squadron Leader Sameer Joshi (retd). Sawhney said the IAF still does not have the data links which are absolutely critical and he had been hearing IAF talk about network centric operations since 2003. “The Pakistan Air Force had been using the ‘Link 70’ since last 15 years. They had been upgrading since 20/11 (Mumbai attack),” he added. India is patting its own back for the successful Balakot operations, said Sawhney, adding that he would refrain from taking sides and would be critical about IAF’s operational readiness as far as the network centric warfare is concerned. He emphasized that it was not important that you had 11,000 sorties. “What is important is your Mirage able to communicate in the air with your Sukhoi? Is the Sukhoi able to communicate with your ground,” he added. The incumbent IAF chief, Air Chief Marshal R K S Bhadauria had himself admitted to a magazine that lack of operational data-link hampered the IAF response on February 27, said Sawhney. He said that his point was “if you do not win the war in the electromagnetic spectrum, you do not win the war at all.” This is why the US military had designated electromagnetic spectrum a war domain itself. Traditionally, India had been following the electronic warfare which is very complicated, whereas Pakistan has always maintained the balance both at the strategic and operational level, said Sawhney. ‘We are not PAF’ Air Marshal K K Nohwar (retd) said that the IAF has put in place the zest for making the operational database successful and operational. But everything takes time. He said the IAF was not the PAF where all the budgets are directed towards whoever can raise his hand high. “Suffice it to say that if the IAF was found wanting in electronic warfare system, in the response that was given by the IAF to defeat or to frustrate the PAF AMRAAM missiles would not have been possible if the electronic warfare system was not up to date,” he added. ‘Aim was not to kill all’ Air Chief Marshal BS Dhanoa (retd.) said that the operation was not to kill all and destroy all but was aimed at destroying terrorist training camps in Pakistan occupied Kashmir (PoK). “We had crossed the line of control after 47 years…Had they gone for war with us, they would have to literally eat the grass,” he added. The former IAF chief elaborated that pilots were systematically trained to carry out strike meticulously during early hours. Download The Times of India News App for Latest City News."
" Pakistan trying to reactivate Balakot terror camp, govt says in Rajya Sabha | India News - Times of India","NEW DELHI: The government on Wednesday told the Rajya Sabha that attempts were afoot by Pakistan-based terror outfits to reactivate the Balakot facility that was hit in airstrikes carried out by Indian Air Force personnel in February this year. “Inputs indicate that attempts are being made by Pakistan-based terror outfits to reactivate its camp at Balakot and restart their religious and jihadi indoctrination courses against India,” minister of state for home G Kishan Reddy said in reply to a question. Asked what steps were proposed to be taken in the matter, Reddy said the government was committed to all necessary measures to protect the borders o the country and maintain its integrity and sovereignty. Recent reports, based on inputs received by the intelligence agencies, had suggested that Jaish-e-Mohammad had revived its facility in Balakot following the abrogation of Article 370 in J&K, with a design to indoctrinate and train fighters to cause trouble in J&K. IAF jets had in cross-border airstrikes in February 2019, carried out days after the Jaish killed 40 CRPF personnel in a terror attack in Pulwama, destroyed a prime terror facility of the outfit deep inside Pakistan territory. The airstrikes caused the terror outfits to abandon their launchpads along the LoC/IB, though these too were revived some months later, particularly after the abrogation of Article 370 in J&K. Download The Times of India News App for Latest India News."
India won’t tolerate provocation from Pakistan: Rajnath Singh | Pune News - Times of India,"PUNE: Defence minister Rajnath Singh on Saturday said the surgical strike across the Line of Control in 2016 and the Balakot air strike in 2019 show that India won't tolerate any provocation. India has never had any territorial ambitions, the minister said while addressing cadets after reviewing the passing out parade of the 137th course at the National Defence Academy (NDA) in Khadakwasla near Pune. Pakistan has realised that it will never win a conventional war against India and has since resorted to a proxy war. It will get nothing but defeat, Singh said. “Pakistan was defeated in 1948,1965, 1971 and 1999. This shows it will never win any conventional or limited war with India,” he said. India has always accorded importance to cordial and friendly relations with foreign countries, the minister added. The government was committed to the sovereignty of the nation and security of its people. “But if someone runs terror camps and attempts to attack our country, we will give them a stern reply,” he added. Singh said terrorism has become a global phenomenon. “We have witnessed 9/11 and 26/11. The Indian Army and security forces have fought against such attacks time and again,” he said. On the new challenges for the security agencies, the minister said, “ Cyberwar and tactics are being used to spread an ideology full of hatred. But our forces are equipped and trained to counter these challenges.” Emphasizing the contributions of the armed forces, Singh said, “The world has seen and experienced the professionalism of the Indian forces during humanitarian crises or in the event of a threat to global harmony.” Singh also reminded the cadets that it was their duty to safeguard the Constitution, the common thread that connected the military’s leadership to civilian leadership. The government has been focusing on defence development and diplomacy which has helped isolate Pakistan, he added. Download The Times of India News App for Latest City News."
 Won't tolerate provocation from Pakistan: Rajnath Singh | India News - Times of India,"PUNE: Union defence minister Rajnath Singh on Saturday said the surgical strike across the Line of Control (LoC) in 2016 and the Balakot air strike in 2019 show that India will no longer tolerate provocation from Pakistan. Singh also reiterated that India has never had any territorial ambitions, while addressing cadets after reviewing the passing out parade of the 137th course at the National Defence Academy in Khadakwasla. ""Pakistan was defeated in 1948, 1965, 1971, and 1999. Pakistan has realised it will never win a conventional war against India and has resorted to proxy war, and will stare at defeat in this stratagem too,"" Singh said. ""India has always accorded importance to friendly and cordial relations with foreign countries, but the government is committed to the sovereignty of the nation and security of its people,"" the defence minister said, adding, ""But if someone runs terrorist camps and attempts to attack our country, we will give them a stern reply."" Download The Times of India News App for Latest India News."
 PM Modi changed political narrative: Amit Shah | India News - Times of India,"NEW DELHI: BJP chief Amit Shah on Tuesday said Prime Minister Narendra Modi believed in delivering what was required for society without bothering about popularity ratings, adding that the Centre had taken several bold decisions which successive governments didn't dare to take for reasons like appeasement or vote bank politics. ""Modi has acted against three curses of Indian politics - appeasement, casteism and nepotism. This government works on efficiency and by keeping welfare of the people as the guiding principle, rather than vote bank politics. India has not seen a leader like Modi who takes strong decisions, in the interest of the nation and its people, without fearing backlash,"" Shah said. After releasing a book 'Karmayoddha Granth' on the life of Modi, Shah said the PM was the epitome of selfless service. He added that the government's decisions had shaped a strong image of India globally and Modi had revamped India's foreign policy and national security policy by de-linking the two. ""India emerged as a strong nation on the global stage while making its stance clear that India will not take attacks on itself lying down. India has emerged as a global power by taking bold decisions, including removal of Articles 370 and 35A in J&K, bringing Citizenship Amendment Act, resolution of Ram Mandir issue, criminalising triple talaq, conducting surgical strikes and Balakot air strikes, which nobody dared in the last 70 years,"" the BJP chief said. Shah said Modi had not only changed the political narrative by keeping the party manifesto at the centre of regovernance but had also taken tough decisions for people's welfare without caring about the consequences. ""The government is functioning on an ideology which keeps Deen Dayal Upadhyay's 'Antyodaya' at the centre,"" he added. Sharing his experience of working with Modi, Shah talked about the three phases of the PM's life, starting from dedicating his life to an ideology, entering politics on the ideals of the ""sangathan"", and finally upholding the tenets of parliamentary democracy and the Constitution to construct a welfare state. ""Modiji's childhood was devoid of luxury, full of poverty, disadvantages and neglect from society but he has dedicated his life towards the welfare of people, without having any ill-feeling for anyone in society,"" Shah said. He added that the Modi government had inherited a government plagued with corruption but had delivered a non-corruptible government since 2014, laying the foundation for a new India. Download The Times of India News App for Latest India News."
IAF strikes: Balakot air strike killed 130-170: Italian reporter | India News - Times of India,"Around 45 people are still undergoing medical treatment following the Indian Air Force strikes on the Jaish-e-Muhammed terror training camp in Pakistan's Balakot, while the bombings could have killed 130-170 JeM cadres, including 11 terror ""trainers"", according to Italian journalist Francesca Marino. Marino says in her report that despite Pakistan's efforts to deceive the world, details of what happened at Balakot in the early hours of February 26 have trickled in. She said that according to a source, a Pakistan Army unit from Shinkiari reached the location at 6am, two-and-a-half hours after the strikes. ""Shinkiari is around 20km from Balakot, and the (Pakistan) army unit would have taken around 35-40 minutes to reach the location from where the climb to the camp begins. Incidentally, Shinkiari is also a base of the Pakistan army, with the Junior Leaders Academy (JLA) located there,"" Italian journalist Francesca Marino said, writing for online magazine Stringer Asia. Marino claims that the injured were taken to a Harkat-ul-Mujahideen camp at Shinkiari and treated by Pakistan army doctors. JeM chief Masood Azhar on constant move since Balakot air strikes""Local sources say around 45 persons are still undergoing treatment in this camp, while around 20 have died during treatment due to serious injuries. Those who have recovered are still in custody of the army and have not been discharged."" She said that information from her contacts indicated the strike immediately killed a large number of Jaish-e-Muhammed (JeM) cadres. ""The numbers estimated have ranged from 130-170, including those who have died during treatment. Those killed included 11 trainers, ranging from bomb makers to those imparting weapons training."" While the casualty figure at Balakot has been subject to heated speculation, Pakistan army has so far refused access to the Jaish complex to any one. Some journalists have been taken to vicinity of the strikes but no one has been able to interview those who were at the camp or continue to be there. ""Two of the trainers were from Afghanistan. To prevent news on fatalities leaking through statements of family members of cadres, a group of JeM members also visited the families of those killed and handed over cash compensation to them,"" she wrote. Marino has written that adjacent to the Blue Pine Hotel, located at the foothill from where the trek to the JeM camp begins, is a painted signboard indicating presence of the Taleem-ul-Quran on the hilltop. ""Unlike the earlier board, all links to JeM leader and now internationally proscribed terrorist Masood Azhar has been removed. The camp area is still under the control of the army, with a Captain rank officer of the Mujahid battalion in command."" Access to the dust track to the camp is restricted, even to local police. Apart from a few children and 3-4 teachers, the complex has been cleared of any traces of it being a JeM camp. ""Meanwhile, inhabitants of Bisian township, near the JeM camp, still speak of some locals having noticed vehicles dumping rubble in the Kunhar river during the first night after the strike."" In Video:Balakot airstrike: More than 130-170 JeM terrorists killed, says foreign scribeDownload The Times of India News App for Latest India News."
 Squadrons which participated in Balakot air strike awarded citations on IAF Day | India News - Times of India,"HINDON: Two squadrons of the Indian Air Force, which played a role in the Balakot air strike, were decorated with citations at the Hindon base on the 87th IAF Day. IAF chief RKS Bhadauria decorated the 51 Squadron and the 9 Squadron for their role in the air strike on terrorist camps in Pakistan's Balakot in February. Every year, the Air Force Day is celebrated at Hindon base in presence of the IAF chief and senior officials of the three armed forces. The IAF was founded on October 8, 1932, and the force has participated in several crucial wars and landmark missions. Download The Times of India News App for Latest India News."
 China-backed efforts to defuse Indo-Pak tensions post-Pulwama attack: Chinese foreign minister | India News - Times of India,"BEIJING: China had supported the efforts of India and Pakistan to defuse tensions and manage their differences through dialogue following the deadly Pulwama terror attack, Chinese foreign minister Wang Yi said, highlighting behind-the-scenes role played by Beijing. After the attack carried out by Pakistan-based Jaish-e-Muhammad in February that killed 40 CRPF personnel, India carried out air strikes against the biggest training camp of the terror group in Balakot in Pakistan. The air strike was followed by an aerial combat between air forces of the two countries on February 27 when Pakistan jets entered India. While chasing Pakistani jet an Indian Air Force jet crashed in Pakistan occupied Kashmir following which its injured pilot was captured. Pakistan quickly announced to release the Indian pilot, who was subsequently handed over to India. At the height of the Indo-Pak tensions, China sent its vice foreign minister Kong Xuanyou to Pakistan to counsel restraint from Islamabad. In an interview to the ruling Chinese Communist Party's official newspaper, the People's Daily, about China's diplomatic achievements in 2019, Wang mentioned post-Pulwama tensions and Beijing's attempts to bring peace between India and Pakistan. ""During the India-Pakistan conflict, China supported the efforts of the two sides to defuse tensions and manage differences through dialogue,"" Wang said, without directly referring to the Pulwama attack and the aftermath. The transcript of his interview was circulated to media on Tuesday by the Chinese foreign ministry here. Also, Wang mentioned the 2nd informal summit between Prime Minister Narendra Modi and Chinese President Xi Jinping in October at the top of highlights of the Chinese diplomacy in the neighbourhood, saying the meeting helped the two sides to charter the course for the steady growth of their ties. ""There are many highlights in China's neighbourhood diplomacy this year,"" he said. ""First, we have improved and developed relations with our neighbours in an all-round way. President Xi Jinping and Prime Minister Narendra Modi had a successful second summit in Chennai and charted the course for the steady growth of China-India relations,"" he said. Earlier at a symposium on China's diplomacy in 2019 held here on December 13, Wang said the Chennai summit had set the tone for a steady and sound development of ties between India and China. Over the past year, China has comprehensively strengthened relations with neighbouring countries and made positive contributions, promoting regional stability and development, Wang said, while highlighting China's diplomatic outreach in the neighbourhood. President Xi and Prime Minister Modi held around five-and-half hours of one-on-one talks spread over two days as part of the second informal summit in Chennai. ""The two leaders had a long-term and in-depth strategic communication. They decided to deepen pragmatic cooperation in various fields, promote exchanges and mutual learning between civilisations, and maintain a stable Sino-Indian relationship,"" he said. The two leaders held the first informal summit at Wuhan last year followed up with the one at Chennai this year. They have agreed to hold their third meeting in China next year. At the Chennai summit the two leaders agreed to establish a high-level economic and trade dialogue mechanism with the objective of achieving enhanced trade and commercial relations, especially to address India's trade deficit with China which last year mounted to over US $57 billion in US $95.5 billion total trade between the two countries. They also decided to celebrate 2020 as 'Year of India-China Cultural and People-to-People Exchanges' and hold 70 activities to celebrate the 70th anniversary of the establishment of India-China relations. The Chennai summit ""set the tone for the steady and sound development of China-India relations and opened up new prospects for the mutually beneficial cooperation between the two countries,"" Wang said in his address. In his interview to the People's Daily, Wang said China has improved its diplomatic outreach in the neighbourhood. ""On Afghanistan, as part of its shuttle diplomacy, China has facilitated the intra-Afghan dialogue and the China-Afghanistan-Pakistan and the China-Russia-US consultation, and hosted the first China-Russia-US-Pakistan four-party meeting,"" he said. ""China has served as a mediator between Myanmar and Bangladesh to encourage a negotiated solution to their outstanding issues,"" he said, referring to the differences between the two countries over the Rohingya refugees. Wang also spoke about improvement of relations between China and Japan, which in the recent past were affected by tensions over the disputed islands in the East China Sea. ""China and Japan reached a 10-point consensus on improving and growing bilateral ties, giving the relationship a strong momentum to return to the right track,"" he said. China-Asean (Association of SouthEast Asian Nations) also progressed over the disputed South China Sea. China claims almost all of the South China Sea. Vietnam, Philippines, Malaysia, Brunei and Taiwan have counter claims. ""China-Asean relations have entered a new stage of all-round development, as evidenced by the important progress made in the consultation on a Code of Conduct in the South China Sea and greater stability in the region,"" Wang said. Download The Times of India News App for Latest India News."
" Abhinandan Varthaman, who shot down Pak's F-16, flies fighter jet at Air Force Day Parade | India News - Times of India","NEW DELHI: Wing Commander Abhinandan Varthaman of the Indian Air Force (IAF), who shot down the F-16 jet of Pakistan during a dogfight on February 27 earlier this year, flew MiG-21 Bison aircraft on Air Force Day parade today at Hindon Air Base. Three Mirage 2000 aircraft and two Su-30MKI fighter aircraft also flew in 'Avenger formation'. The planes were flown by pilots who took part in Balakot air strike. #WATCH Ghaziabad: Wing Commander #AbhinandanVarthaman leads a 'MiG formation' and flies a MiG Bison Aircraft at Hin… https://t.co/zoiEYteRD6— ANI UP (@ANINewsUP) 1570511076000Air Fighter pilots who took part in Balakot air strikes were included in the parade as a mark of tribute to the teams which carried out the strike on February 26 and thwarted the Pakistani aerial attack on February 27. The dogfight on February 27 erupted after PAF tried to carry out an attack on Indian military installations which was thwarted by the IAF. A day before, IAF had carried out aerial strikes at JeM Camp in Pakistan's Balakot. The IAF carried out the strikes days after a terror attack on CRPF convoy in Jammu Kashmir's Pulwama which claimed the lives of over 40 paramilitary personnel. Indian Air Force (IAF) celebrated 87th anniversary on Air Force Day at Hindon Air Base in Ghaziabad. Army Chief General Bipin Rawat and IAF Chief, Air Chief Marshal Rakesh Kumar Singh Bhadauria were present at the event. In Video:Air Force Day: Wing Commander Abhinandan Varthaman leads flypastDownload The Times of India News App for Latest India News."
