News Title,Content
Shaheen Bagh News: Man fires two rounds in air in Shaheen Bagh area; taken into custody | India News - Times of India,"NEW DELHI: Two days after a youth fired a pistol at a group of anti-CAA protesters near the Jamia university, another man on Saturday fired two rounds in the air at Shaheen Bagh, the epicentre of the protest against the country's new citizenship law, and was later taken into custody. No one was injured in the incident that came even as Uttar Pradesh chief minister Yogi Adityanath during a poll rally in Delhi's northwest Rohini area alleged that those who support terrorists in Kashmir are staging protest at Shaheen Bagh. The man, who identified himself as Kapil Gujjar, chanted ‘Jai Shree Ram‘ and said, ""hamare desh me aur kisi ki nahi chalegi, sirf Hindu ki chalegi (only Hindus shall have a say in our country, no one else),"" as he was taken into custody by the Delhi Police. ""The accused fired in air near police barricades. He was overpowered by police personnel and taken into custody. Further investigation is on,"" Chinmoy Biswal, Deputy Commissioner of Police (southeast) said. The police said they are verifying his identity. According to eyewitnesses, the man shouted ""Hindu Rashtra Zindabad"" and fired two rounds. The incident, which comes days after a local contractor armed with a gun had come to the site and asked the people to end the protest against the Citizenship (Amendment) Act, has triggered panic in the area. A woman protestor, who didn't wish to be named, said the incident has created panic among them as well as children. ""Many women and children were inside the tent when the incident occurred. We rushed to the spot after hearing a gunshot. Everyone is scared. But we won't leave the spot,” she said. Notwithstanding the unnerving incident, many people thronged the protest site to express solidarity with the protestors. Many of them sung the national anthem while others offered namaz there. The protestors also raised slogans against the Delhi Police. Abu Ala Suhani, a publisher and resident of Shaheen Bagh said,""the man appeared to be in his 20s and fired two rounds. While he was being taken into custody, we heard a policeman asking him his name. The man said his name was Kapil Gujjar and he belongs to Dallupura village in Uttar Pradesh."" On Thursday, the youth had fired on anti-CAA protesters at Jamia Millia Islamia injuring a student in the presence of police personnel, triggering massive protest by the Jamia students against the police inaction. Hundreds of people, including women and children, have been protesting since December 15 at Shaheen Bagh, which has attracted attention across the country among those opposing the CAA, but at the same time the agitation has been severely criticised by others, including the BJP Union ministers and leaders. Hitting out at the AAP dispensation, Adityanath said that the Arvind Kejriwal government ""supplies biryani"" to protesters at Shaheen Bagh. Addressing another poll rally at Karawal Nagar Chowk in east Delhi, the BJP leader lashed out at the anti-CAA protesters, saying ""their ancestors divided India, so they have a grouse against this emerging 'Ek Bharat Shrestha Bharat'."" ""These protests happening at various places in Delhi are not about the CAA, but it is happening because those people are questioning as to how can India emerge as a major power in the world, and to stop that rising India,"" he claimed. BJP leaders have been urging people to vote for the party in Delhi assembly polls on February eight to show their disapproval for the ongoing anti-CAA protest at Shaheen Bagh. Reacting to the incident, AAP leader Sanjay Singh said they had already warned the Election Commission that a conspiracy is being hatched by the BJP to postpone the polls. ""There is no law and order in the country. The gun-toting men are not making Delhi their bastion (adda).We have been seeking time from the Election Commission since yesterday so that we can make them aware of these developments but they have not given us any time,"" he said. However, senior BJP leader B L Santhosh insinuated involvement of party's rivals in the recent shooting incidents, saying the ""great drama party of Delhi is becoming too costly for the country"". ""One more drama today. This time the gun shot is near Shaheen Bagh. The acts are looking too dramatic to be real. Person brandishes gun...shoots couple of bullets...shouts some words against a community .The great drama party of Delhi is becoming too costly for the country,"" he tweeted. In a veiled attack on the BJP over the incident, the Congress said the shooter has changed but the ideology pulling the trigger in 1948 or 2020 has remained the same. A man fired two rounds in air in the Shaheen Bagh area in Jamia Nagar, where an anti-CAA protest is on, following which he was taken into custody by police, eyewitnesses said. Congress spokesperson Jaiveer Shergill tweeted,""Shooter changes but ideology pulling the trigger either in 1948 (Nathuram Godse) or 2020 remains the same 'Goli Maro' -- Hands which should be pulling India's growth are now firing guns."" ""Instead of 'Make in India' focus is on 'spreading hate in India',"" he alleged. On Monday, Minister of State for Finance Anurag Thakur while addressing a election rally, had raised the slogan of ‘desh ke gaddaron ko' (traitors in the country) as the crowd responded with ‘goli maaron sa***n ko'. The next day, BJP MP Parvesh Sahib Singh Verma said protesters at Shaheen Bagh could ""enter homes and rape our sisters and daughters”. The Election commission asked the BJP to remove both Thakur and Verma from the list of star campaigners. It also barred Thakur from campaigning for three days and Verma for four days for their controversial remarks. In Video:Shaheen Bagh: Man opens fire near barricades of protest site, heldDownload The Times of India News App for Latest India News."
"At Delhi poll rally, Yogi Adityanath lashes out at anti-CAA protesters, says 'their ancestors divided India' | Delhi Election 2020 Election News - Times of India","NEW DELHI: Uttar Pradesh chief minister Yogi Adityanath on Saturday alleged that the anti-CAA protests in Delhi were ""not about the amended law"" but a manifestation of the ""grouse"" harboured by the protesters ""against an India that is emerging as a major power in the world"". Addressing a poll rally at Karawal Nagar Chowk in east Delhi, the BJP leader lashed out at anti-CAA protesters, saying ""their ancestors divided India, so they have a grouse against this emerging 'Ek Bharat Shrestha Bharat'."" ""These protests happening at various places in Delhi are not about the CAA, but it is happening because those people are questioning as to how can India emerge as a major power in the world, and to stop that rising India,"" he claimed.  During the assembly poll campaign, BJP leaders have been urging people to vote for the party to show their disapproval for the ongoing anti-CAA protest at Shaheen Bagh. Download The Times of India News App for Latest Elections News."
Patna: Students clash with anti-CAA protesters during Saraswati idol immersion | Patna News - Times of India,"PATNA: At least two cars were torched and several other vehicles damaged as a group of students participating in Saraswati idol immersion procession clashed with anti-CAA/NRC protesters at Lalbagh on Ashok Rajpath under the Pirbahore police station area in the city around 8.40pm on Friday. A police sub-inspector (SI), Manoj Singh, sustained splinter injuries in crude bomb explosion during the clash. He was immediately rushed to Patna Medical College and Hospital for treatment. Additional police forces were deployed in the area to bring the situation under controlThe two groups also pelted stones targeting each other. Additional police forces were deployed in the area to bring the situation under control. The administration made announcements urging locals to stay indoors. Naveen Kumar, a local student, told TOI that he was returning from an immersion procession when the trouble started. “Students from nearby colleges entering Krishna Ghat lane from Ashok Rajpath for idol immersion raised pro-CAA/NRC slogans. Those protesting against the CAA/NRC objected to it,” he said, adding the issue snowballed soon into violence. “Loud explosions were heard during the clash as the students hurled bombs,” he said. Iqbal Ahmed, owner of one of the torched cars, said he was returning after offering ‘namaz’ when the incident occurred. ADM (law and order) K K Singh said the situation in the area was tense but under control. “We are trying to identify those involved in the clash,” he added. In Video:Patna: Clash during Saraswati idol immersion, situation under controlDownload The Times of India News App for Latest City News."
 CAA in 'clear violation' of Indian Constitution and international human rights law: Amnesty | India News - Times of India,"WASHINGTON: Amnesty International has told the US lawmakers that the recently enacted Citizenship Amendment Act (CAA) stands in ""clear violation"" of the Constitution of India and international human rights law and ""legitimises discrimination"" on the basis of religion. The new citizenship law passed by Parliament in December 2019 offers citizenship to non-Muslim persecuted religious minorities from Pakistan, Bangladesh and Afghanistan. The Indian government has been emphasising that the new law will not deny any citizenship rights, but has been brought to protect the oppressed minorities of neighbouring countries and give them citizenship. Amnesty International Asia Pacific Advocacy Manager Francisco Bencosme made the remarks during a testimony before the House Foreign Affairs Subcommittee on Africa, Global Health, Global Human Rights and International Organizations and House Oversight and Reform Subcommittee. The Indian Parliament “passed the Citizenship Amendment Act, which legitimises discrimination on the basis of religion and stands in clear violation of the constitution of India and international human rights law,” Bencosme said. India has asserted that the legislation on CAA was enacted following the due process. ""The CAA is an internal matter of India. It has been adopted through due process and democratic means,"" Spokesperson of the Ministry of external affairs Raveesh Kumar has said, fending off criticism against the CAA. Defending the CAA, Prime Minister Narendra Modi last month said that the law is not about taking away citizenship, it is about giving citizenship. ""We must all know that any person of any religion from any country of the world who believes in India and its Constitution can apply for Indian citizenship through due process. There's no problem in that,"" he said. The two subcommittees jointly organised a hearing on Ending Global Religious Persecution. Download The Times of India News App for Latest India News."
West Bengal: Raising ‘One Billion’ voices against citizenship law | Kolkata News - Times of India,"KOLKATA: It’s not enough to talk about violence against women only. Voices have to be raised against atrocities on minorities and the marginalized as well, and anyone who is feeling insecure in the current circumstances, when even something as basic as citizenship is coming up for questioning. This was the rhetoric at the three-hour One Billion Rising programme organised by the Loreto nuns at Allen Park on Friday. Hundreds of students at Loreto schools in the city gathered to sing, dance and add voice to the “Rising”, the sixth celebration in the city of the global movement started in the US by writer-women’s rights activist Eve Ensler in 2012. The concept is based on the fact that one out of every three women worldwide is subjected to violence at least once in lifetime. The OBR organiser in the city, Kolkata Mary Ward Social Centre, is a unit of the Loreto order and this year, it collaborated with Loreto Elliot Road to bring the Rising to life. Every year, one Loreto school, along with the Mary Ward, carries the baton. The slogan, ‘Rise, Resist, Unite,’ also included voices against CAA and NRC, following a resolution to this effect taken at the OBR Delhi headquarters. “At OBR, people are taught to respect women, but as things stand now, there is an atmosphere of fear and uncertainty in the entire civil society. OBR is a natural platform of protest and hence, we are using it as an umbrella to include minorities and their fears. Let OBR be the platform, where we can preach respect for the Constitution,” said Nandini Bhattacharjee, a teacher at Loreto Elliot Road who coordinated the programme. The chief of the city’s OBR, Monica Suchiang, a Loreto nun, also the director of Mary Ward, felt women worldwide have been rising, pledging to stand by one another. “The conviction is uncanny… you have finally met your tormentor eye-to-eye and that is the magic moment when you know you have conquered him,” Sister Suchiang said. The Superior of Loreto order, Sister Sabrina, was also present at the event. The high point of the programme was the discussion, Addressing Inequality Challenges, where ‘inequality’ transcended ‘gender issues’ and encompassed discrimination meted out to religious minorities and communities. The speakers included Nandita Pal Choudhury, Anchita Ghatak, Deep Purakayastha, Saira Halim, Madiha Ahmed and Nick Rampal. The talk was moderated by Anglo Indian MLA Shane Calvert. The speakers likened the current political situation to fascism. “Even a few years ago, the challenges of being a woman was there but I was not made to feel like a minority,” said Halim, a social activist and writer. Calvert pointed out that mankind progressed only when there was tolerance and congratulated the organizers for extending the scope of OBR this time. Download The Times of India News App for Latest City News."
Tight security arrangements ahead of anti-CAA march | Thiruvananthapuram News - Times of India,"Thiruvananthapuram: City Police have arranged tight security measures in the city on Saturday in view of the anti-CAA march that will be taken out under the aegis of SDPI taking into account of potential law and order issues that may arise. Bhim Army chief Chandrasekhar Azad Ravan who is in the forefront of anti CAA protests will be attending the event. A strong contingent of 660 police personnel will be deployed along MG Road from East Fort where the march commences to Raj Bhavan where it will conclude. The police personnel will be under the supervision of two deputy commissioners, 11 assistant commissioners, 22 inspectors and 70 sub-inspectors. City Police commissioner Balram Kumar Upadhyay said that MG Road from East Fort to Raj Bhavan will be divided into four zones with each zone under the supervision of an assistant commissioner. Besides the local police, personnel from Commando Wing of the police department and quick response team will also be on duty. Woman cops and shadow police squad members will also be on duty. Police will also be regulating vehicuar traffic on city roads in connection with the protest march. Vehicles bringing participants for the march from various places have to be parked along the NH-66 and Putharikandam ground. There will be strict ban on parking of vehicles along MG Road and other major city roads, including Museum – Kanaka Nagar road, Museum – Nandavanam – Bakery Junction road, Keltron – Manaveeyam – Althara road, Pattom – Kuravankonam – Kowdiar road, East Fort – Attakkulangara – Killippalam road and East Fort – Mithranandapuram – Eanchakkal road. Download The Times of India News App for Latest City News."
Anti-CAA unrest: Assam NSUI leader arrested in Guwahati | Guwahati News - Times of India,"By: Syeda Ambia Zahan GUWAHATI: The vice president of National Students' Union of India's (NSUI) state unit, Zubair Anam Mazumdar, was arrested on Friday for his alleged links with vandalism during the anti-CAA protests here on December 12. The CID wing of Assam Police charged him with allegedly ""attempting to wage war against the country"" in a new case after finding out that Mazumdar had already obtained anticipatory bail in two cases of alleged vandalism inside the Srimanta Sankardeva Kalashetra registered with Dispur Police. Mazumdar (30) was picked up from outside the Rajiv Bhawan, the state Congress headquarters here, soon after he came out of the building after addressing a press meet. He was taken to Dispur police station where he produced his bail papers. Hours later, the CID stepped in and booked him under a different case that was shown to have been registered last year. Assistant commissioner of police Himanshu Das said, ""He was evading interrogation after two cases were registered against him. Today, we met him in the ABC area and took him to the police station. Then he showed us that he has already has been granted bail from the Gauhati high court in those cases. Now, he will again be interrogated by the CID in another case registered against him."" NSUI leader charged with criminal conspiracyThe CID has also charged Mazumdar with criminal conspiracy, concealing with intent to facilitate design to wage war, causing grievous hurt to any person being a public servant in the discharge of his duty under the IPC and under the IT Act and for sending ""offensive messages through a computer or any other communication device."" While he was being taken into the police vehicle, Mazumdar told the waiting media, ""I am going to jail for raising voice my voice for my people. History will remember this. No one can mute our voice."" Last week, Assam Youth Congress president Kamrul Islam Choudhury, another alleged conspirator of the arson outside the state secretariat during anti-CAA protests, was arrested under different sections of the IPC relating to endangering life or personal safety of others, being armed while rioting, being a member of unlawful assembly guilty of offence and knowingly joining or continuing in assembly of five or more persons after it was commanded to disperse together with sections under Prevention of Destruction of Public Properties' Act. A total of 197 cases have been registered against those indulging in violence on December 11, 12 and 13 in various parts of the state, including vandalism in the Srimanta Sankaradev Kalakshetra, a cultural centre in Guwahati. The Assam government constituted a Special Investigation Team (SIT) to probe into the cases. Earlier, Assam finance minister Himanta Biswa Sarma had accused NSUI of being involved in the violence by providing video footage to the media. Speaking to TOI, Jyoti Bikash Changmai, president of NSUI, said, ""If Zubair Anam Mazumdar is guilty of the charges against him, then law must punish him. But he should not be harassed if he is innocent. The investigation should be fair."" In the meanwhile, one more leader of the Krishak Mukti Sangram Samiti, Hussain Mohammad Shahjahan, was interrogated by the National Investigation Agency (NIA) on Friday in connection with the anti-CAA protests. The NIA summoned Shahjahan, who is adviser to the organization, to its Guwahati office and questioned him for hours. Download The Times of India News App for Latest City News."
Book Mumbai school management for sedition for pro-CAA drama: Congress | Mumbai News - Times of India,"MUMBAI: Nearly a week after the Karnataka police registered a case of sedition against a school management in Bidar after its students performed a drama which was against the Citizenship Amendment Act (CAA) and the proposed National Register of Citizens, Congress spokesperson Sachin Sawant on Friday asked the Maharashtra home department to register a similar case against a school management in Matunga for organizing a pro-CAA drama on January 10. In Bidar, Sawant said the drama was staged by class IV, V and VI students on January 21, while a case of sedition was registered on January 26 and the headmistress and mother of a student arrested. “It was a politically motivated decision... the drama was critical of CAA and Prime Minister Narendra Modi,” he told TOI. From media reports, it appears that a pro-CAA event was organized in a Matunga school on January 10. “It’s an identical case. In our view, if a case can be registered in Bidar, a similar offence should be registered against the Matunga school for holding students to ransom to support the controversial law,” Sawant added. Launching a frontal attack against BJP, Sawant said it was unfortunate that offences are being registered against activists in BJP-ruled states if they speak against the party. “Heads of BJPruled states must adhere to Raj dharma, act impartially,” he said. NCP spokesperson and skill development minister Nawab Malik concurred that it was wrong on the part of the Bidar police to book the school management for staging the anti-CAA drama. “I feel that it is one’s fundamental right to express his or her opinion. Under such circumstances, it is wrong to book students for sedition,” Malik added. Download The Times of India News App for Latest City News."
Anti-CAA protests Delhi: FIR against family trying to hold sit-in inside park | Delhi News - Times of India,"NEW DELHI: Delhi Police has registered an FIR against a family for allegedly trying to set up a tent inside a park at south Delhi's Malviya Nagar and hold a sit-in protest against the Citizenship (Amendment) Act on Wednesday. In a video, the family members were seen pushing a cop when he tried to stop them from setting up the tent.  Police said that some local residents of Hauz Rani informed police about some people trying to set up a tent in the park. A police team was sent to convince the family to hold any protest at a designated protest site. The family members, however, started arguing with the cops. When officers removed the poles erected for the tent, the family started scuffling with them. DCP (south) Atul Thakur said that a case has been registered for preventing a public servant from conducting his duty and assaulting a public servant. Download The Times of India News App for Latest City News."
CAA Protest in Jabalpur: Internet suspended in Jabalpur after clashes during anti-CAA protest | Bhopal News - Times of India,"JABALPUR: A day after the third clash between police and anti-CAA protesters in around a month, internet services remained suspended in Jabalpur town on Friday till 6pm. Police had beefed up security measures, as few women are still staging a sit-in. District collector Jabalpur, Bharat Yadav told TOI, “Internet services were restricted in the city due to security reasons till 5pm on Friday. Few women are sitting on protest in Raddi chowk area of the city now also, we are in talks with them.” Though the collector said internet services remained affected till 5pm only, sources said that the internet services on mobile phones were suspended from 9.40 am till 6pm. ‘FIR against unidentified protestors’ It is noteworthy that several women had been protesting at Ghazi Miyan Maidan since January 21. Minister Lakhan Ghanghoria and district collector Bharat Yadav reached there and pacified the protesting women after receiving a memorandum from them on Thursday, but a part of protesters who were not happy with the decision to call of the protests, staged protest by squatting on the adjacent road, said sources. Subsequently when police tried to remove them there was stone pelting leading to mild lathi-charge by police. SP Jabalpur Amit Singh said, “An FIR has been registered against the unidentified people who were sitting in protest on the road on Thursday. No one has been arrested yet. Six other FIRs were registered on January 26 also, but no arrests have been made so far.” The recent clash between protesters and police was third such incident since December 20. On January 26 also, there was a clash between the police and the protesters. Clash between police and protestors on December 20, had led to imposition of curfew in some of the areas of the city for four days. Download The Times of India News App for Latest City News."
