News Title,Content
"Odisha: Back from China, youth in hospital over coronavirus scare | Bhubaneswar News - Times of India","BERHAMPUR: A 25-year-old youth from Phulbani in Kandhamal district, studying in a medical college in China, has voluntarily got himself admitted to the district headquarters hospital after complaining of fever and cold. Mrutunjay Muni, a medical student at Southwest Medical University in the Sichuan province of China, returned home to Phulbani on January 12. A few days ago he complained of fever and cough and cold, initial symptoms of the novel coronavirus (nCoV), which has resulted in more than 200 deaths in China and has forced the World Health Organisation to declare it a global emergency. “After returning from China, I started feeling feverish. I also had cough and cold. Given that coronavirus is spreading in China and the symptoms matched that of the deadly disease, I voluntarily went for a health check-up at the district headquarters hospital in Phulbani,” said Muni, who has been referred to SCB Hospital and Medical College in Cuttack. Muni said he stays in a town close to Wuhan, the epicentre of coronavirus. “The youth has been kept under observation in the isolation ward. Arrangements are being made to shift him to SCB,” said Rajashree Patnaik, chief district medical officer (CDMO), Kandhamal. The hospital in Phulbani has set up a three-bedded isolation ward to deal with coronavirus patients. The CDMO said there was no need to panic as Muni had returned to India much before the outbreak of the virus in China. “The blood samples of the patient will be sent to the National Institute of Virology in Pune for tests,” she added. Santosh Mishra, superintendent of MKCG Medical College and Hospital in Berhampur, urged those who returned from China to report for a health check-up. “We request those who have returned from China to undergo a basic health check-up. They should voluntarily come to hospital,” said Mishra, adding that a 10-bedded isolation ward has been set up at MKCG. Apart from Muni, several youths from Silk City have returned home from China given that this is the time of the Chinese New year celebrations. T Vijya Kumar Patra (25), who works as a junior scientist in a pharmaceutical company at Zibo in China, returned to Berhampur on January 25. “The spread of the disease was not that severe when I returned home. I was screened at the Kolkata airport after landing there,” said Patra, adding that he would return to China only after the disease is brought under control. T Gopi, father of Kumar, said his son did not visit the hospital for a health check-up as he did not show symptoms of the deadly virus. Basudev Paul (31), a research scientist, associated with a company in Shanghai, China, was supposed to return this week and join work on Friday. But he was forced to cancel his flight owing to the spread of the virus. Radhakant Gouda (37), another research scientist, is supposed to return to Beijing on February 15 but has now put his trip on hold. Download The Times of India News App for Latest City News."
China expands lockdowns to 25 million people to halt viral outbreak - Times of India,"BEIJING: China broadened its unprecedented, open-ended lockdowns to encompass around 25 million people Friday to try to contain a deadly new virus that has sickened hundreds, though the measures' potential for success is uncertain. At least eight cities have been shut down — Wuhan, Ezhou, Huanggang, Chibi, Qianjiang, Zhijiang, Jingmen and Xiantao — all in central China's Hubei province, where the illness has been concentrated. Wuhan, which has the majority of cases, also announced Friday that it will build a designated hospital with space for 1,000 beds in the style of a facility that Beijing constructed during the SARS epidemic. The hospital will be erected on a 25,000 square-meter lot and is slated for completion Feb. 3, municipal authorities said. The lockdown began early Thursday in Wuhan, where normally bustling streets, malls and other public spaces were eerily quiet. Masks were mandatory in public. Train stations, the airport and subways were closed; police checked incoming vehicles but did not close off roads. The seven other cities under lockdown as of Friday morning are near Wuhan, but authorities were taking precautions around the country. In the capital, Beijing, major public events were canceled indefinitely, including traditional temple fairs that are a staple of Lunar New Year celebrations. The Forbidden City, the palace complex in Beijing, announced it will close indefinitely on Saturday. The number of confirmed cases of the new coronavirus rose to 830, the National Health Commission said Friday morning. Twenty-six people have died. The first deaths outside Hubei were confirmed. The health commission in Hebei, a northern province bordering Beijing, said an 80-year-old man died after returning from a two-month stay in Wuhan to see relatives. Heilongjiang in the northeast also said one person died in the province, but did not give further details. The vast majority of cases have been in and around Wuhan or people with connections the city. Outside the mainland, cases have been confirmed in Hong Kong, Macao, the United States, Japan, Taiwan, South Korea, Thailand, Singapore and Vietnam. Many countries are screening travelers from China for symptoms of the virus, which can cause fever, coughing, breathing difficulties and pneumonia. The World Health Organization decided against declaring the outbreak a global emergency for now. The declaration can increase resources to fight a threat but that can also cause trade and travel restrictions and other economic damage, making the decision politically fraught. The decision ""should not be taken as a sign that WHO does not think the situation is serious or that we're not taking it seriously. Nothing could be further from the truth,"" WHO director general Tedros Adhanom Ghebreyesus said. ""WHO is following this outbreak every minute of every day."" Chinese officials have not said how long the shutdowns of the cities will last. While sweeping measures are typical of China's Communist Party-led government, large-scale quarantines are rare around the world, even in deadly epidemics, because of concerns about infringing on people's liberties. And the effectiveness of such measures is unclear. Jonathan Ball, a professor of virology at molecular virology at the University of Nottingham in Britain, said the lockdowns appear to be justified scientifically. ""Until there's a better understanding of what the situation is, I think it's not an unreasonable thing to do,"" he said. ""Anything that limits people's travels during an outbreak would obviously work."" But Ball cautioned that any such quarantine should be strictly time-limited. He added: ""You have to make sure you communicate effectively about why this is being done. Otherwise you will lose the goodwill of the people."" The coronavirus family includes the common cold as well as viruses that cause more serious illnesses, such as the SARS outbreak that spread from China to more than a dozen countries in 2002-03 and killed about 800 people, and Middle Eastern respiratory syndrome, or MERS, which is thought to have originated from camels. The first cases in the Wuhan outbreak late last month were connected to a seafood market, and experts suspect transmission began from wild animals sold there. The market is closed for investigation. Download The Times of India News App for Latest World News."
"China virus death toll mounts to 25, infections spread - Times of India","BEIJING: A new coronavirus has killed 25 people in China and infected more than 800, the government said on Friday, as the World Health Organisation declared it an emergency but stopped short of declaring the epidemic of international concern. China's National Health Commission said 830 cases had been confirmed so far and 25 people had died as of Thursday. Most of the cases are in the central Chinese city of Wuhan, where the virus is believed to have originated late last year. Non-fatal cases have been found in at least seven other countries. Health officials fear the transmission rate could accelerate as hundreds of millions of Chinese travel at home and abroad during week-long holidays for the Lunar New Year, which begins on Saturday. Nonetheless, it was a ""bit too early"" to consider the outbreak a ""Public Health Emergency of International Concern,"" WHO Emergency Committee panel chair Didier Houssin said after the body met in Geneva. Such a designation would have required countries to step up the international response. ""Make no mistake, though, this is an emergency in China,"" said WHO chief Tedros Adhanom Ghebreyesus. ""It has not yet become a global health emergency. It may yet become one,"" he said. Scrambling to contain the outbreak, the local government in Wuhan, a city of 11 million people in Hubei province, suspended most transport on Thursday, including outgoing flights, and people were told not to leave. Hours later, neighbouring Huanggang, a city of about 7 million people, announced similar measures. ""The lockdown of 11 million people is unprecedented in public health history,"" said Gauden Galea, the WHO's representative in Beijing. The organization said, however, that it was not yet recommending any broader restrictions on travel or trade. The previously unknown virus strain is believed to have emerged from illegally traded wildlife at an animal market in Wuhan. It has created alarm because there are a number of unknowns surrounding it. It is too early to know just how dangerous it is and how easily it spreads between people. There is no vaccine for the virus, which can spread through respiratory transmission. Symptoms include fever, difficulty breathing and coughing. Download The Times of India News App for Latest World News."
Madhya Pradesh: 'Suspected' corona virus patient in Gwalior | Bhopal News - Times of India,"BHOPAL: A 30-year-old patient who had returned from China a week ago and had reached out at Gwalior district hospital for treatment of –cold and cough—symptoms like corona virus, was allowed to go home. After the matter came to light, chief medical and health officer, Dr Mridul Saxena had sought clarification from the doctor who treated the patient and the civil surgeon. And had also instructed to track the patient down. Following it, doctors are now trying to track the patient. Chief medical and health officer, Dr Mridul Saxena said, “The patient had returned from China a week ago and had reached out to the OPD of the hospital in the morning with symptoms of cold and cough. A clarification has been sought from the doctor who treated it and the civil surgeon. If the patient was suspected patient, then why no protocols were followed. And instructions have been issued to trace the patient and ensure that all treatment protocols are followed”. The patient first reached out to OPD of the district hospital, the doctors at the hospital prescribed medicines and asked him to come after two days. However, the patient, then reached Jai Arogya Hospital (JAH)--another government hospital attached with Gajra Raja Medical College—and then he had returned home, said sources. Civil surgeon Gwalior, Dr BK Gupta said, “We have traced the patient. He had gone to JAH after visiting our OPD but he absconded from there. We have also sought his report from doctors who treated him at JAH and are contacting the patient so that his samples could be taken, and appropriate protocols could be followed. We have got his address also and are now sending a team of doctors to his residence”. Download The Times of India News App for Latest City News."
Rationalists decry Centre’s advisory on Coronavirus | Mangaluru News - Times of India,"MANGALURU: As countries around the world struggle to contain the spread of the deadly Coronavirus, the advisory of the ministry of AYUSH (ayurveda, yoga & naturopathy, unani, siddha, sowa rigpa and homoeopathy) has irked rationalists. Condemning the Union government’s attempt to promote quackery in the name of alternative medicine, Federation of Indian Rationalist Associations (FIRA) president Narendra Nayak said: “When all the authorities including World Health Organisation claim there is neither any vaccine nor any treatment for Coronavirus, the government is promoting unproven therapies to lull people into a false sense of security that they can be safe if they consume such concoctions.” FIRA members also questioned the silence of medical bodies on “this blatant falsehood”. AYUSH ministry, in a health advisory, had recommended that homeopathic and unani medicines could be effective in the prevention of Coronavirus infections. The advisory was issued following a meeting on Tuesday of the scientific advisory board of the Central Council for Research in Homoeopathy (CCRH) under the AYUSH ministry to discuss ways and means for prevention of the infection through homoeopathy, the ministry said in a statement. It had recommended that homoeopathic medicine Arsenicum album 30 could be taken empty stomach daily for three days as a prophylactic medicine against the infection besides hygiene measures. Download The Times of India News App for Latest City News."
VOC Port tightens measures to prevent coronavirus outbreak | Madurai News - Times of India,"Tuticorin: V O Chidambaranar (VOC) Port in Tuticorin has tightened safety measures to prevent coronavirus outbreak in China from spreading to India through sea. Chairman of the port T K Ramachandran has said that the port has been put on high alert to address the coronavirus issue that has raised safety concerns globally. In a statement, he said that this is in line with the measures taken by the ministry of shipping that has directed all the ports to undertake screening and isolation activities while disembarking seafarers and cruise passengers, to prevent the outbreak of the deadly virus through the ships that are calling the seaports of India. Ramachandran said that VOC Port is closely coordinating with the ministry of shipping and the ministry of health and family welfare in monitoring crew and passengers. The port health officer (PHO) has made arrangements for obtaining self-declaration from arriving crew and passengers. An isolation ward has been arranged at the government medical college and hospital at Tuticorin with necessary facilities and infrastructure. VOC Port has issued the standard operating procedure (SoP) for surveillance of vessel, crew and passenger management. The SoP has been forwarded to all the stakeholders for compliance. The SoP has also been circulated to the port users through social media. In order to sensitize port users and stakeholders operating in the port regarding precautionary measures to reduce the risk of exposure to coronavirus, the port has placed signages at the administrative offices, green gate, yellow gate, red gate, Zone-B, port hospital and at the entrance of the navigation channel. Stating that periodical review meetings with PHO, stakeholders of the port and port users are also being conducted by the management to assess the situation, port officials said that these measures will continue till further instructions from the ministry of shipping and ministry of health and family welfare. Download The Times of India News App for Latest City News."
Kerala virus: India's first coronavirus case confirmed in Kerala | India News - Times of India,"(This story originally appeared in  on Jan 30, 2020)THIRUVANANTHAPURAM: The Union ministry of health and family welfare on Thursday said one positive case of Novel Coronavirus from Kerala has come to light. ""One positive case of Novel Coronavirus — a student studying in Wuhan University — has been reported from Kerala,"" said a statement released by the health ministry. The patient is kept in isolation in a hospital. ""The patient is stable and is being closely monitored,"" said the ministry statement. A Kerala report said health minister KK Shailaja has called for an emergency meeting of top health officials. ""We were waiting for the test results of six samples and we received the result of five which were negative,"" said the official who did not wish to be identified. According to the figures put out on Wednesday night by Kerala health authorities, around 800 people are under observation with 10 in hospitals and the rest at their homes. Wuhan city of China witnessed an outbreak of the new strain of coronavirus last month. Since then the death toll in China from the new coronavirus has risen to 170 with 7,711 confirmed cases, as repatriation flights for foreign nationals continued. Outside China, Hong Kong and Macau, other countries with confirmed cases include Thailand, Singapore, Malaysia, Vietnam, Cambodia, South Korea, Japan, Nepal, Sri Lanka, Canada, the United States, United Arab Emirates, Australia (two new cases reported on Thursday), France and Germany. Finland reported its first case on Wednesday. Several cases in Taiwan were also included in the national count. In Video:First case of coronavirus confirmed in India; Kerala student tested positiveDownload The Times of India News App for Latest India News."
Kozhikode: 40-year-old woman admitted to beach hospital isolation ward with symptoms of fever and cough | Kozhikode News - Times of India,"KOZHIKODE: A 40-year-old woman has been admitted to the Kozhikode beach general hospital isolation ward set up for Coronavirus patients on Tuesday. The woman, hailing from Kozhikode corporation limits arrived Kozhikode on January 27 after her holiday in Singapore. She got admitted to a private hospital on January 27 and shifted to Kozhikode beach general hospital on Tuesday at 5 pm. According to the Kozhikode beach general hospital authorities, the woman had gone to Singapore for holidaying on January 22 and arrived back in Kozhikode on January 27. Upon her arrival, she started showing symptoms of fever and cough and she got admitted to the private hospital on January 27. She was shifted to the isolation ward set up for Coronavirus patients at the Beach Hospital on January 28 and the hospital authorities kept her under observation. Hospital authorities have informed that her throat swab samples will be collected on January 29 and will be sent to Pune based National Institute of Virology for testing. In Kozhikode, a total of 115 persons who arrived from China till January 28 have been kept under house quarantine for 28 days. Download The Times of India News App for Latest City News."
 Coronavirus: Principal secretary to PM Modi holds high-level meeting to take stock of preparedness | India News - Times of India,"NEW DELHI: The Prime Minister's Office on Saturday reviewed India's preparedness to deal with deadly coronavirus amid mounting global concern over   increasing number of cases in China   , the epicentre of the outbreak, and several other countries. At a meeting chaired by P K Mishra, principal secretary to the prime minister, health ministry officials presented an update about response measures being undertaken in the wake of Coronavirus outbreak in China, official sources said. The meeting was held on the instructions of Prime Minister Narendra Modi. The Cabinet secretary, home secretary, foreign secretary, defence secretary, health secretary, civil aviation secretary and several other top officials attended the meeting. They said health ministry officials briefed Mishra on the preparedness of hospitals, laboratories as well as on measures being taken for the capacity building of rapid response teams to deal with possible cases of coronavirus. The principal secretary to the PM also reviewed the various   preventive measures taken   by other ministries like the ministry of civil aviation. The officials assured Mishra that the   situation is being closely monitored   by the ministry of health and family welfare, in coordination with various other Union ministries as well as state governments and Union Territories. So far, 20,000 people from 115 flights at seven international airports in the country have been screened. The sources said the National Institute of Virology labs are fully equipped to test the virus and that all state and district health authorities have been alerted. Download The Times of India News App for Latest India News."
Bizmen fear losses after corona virus outbreak in China | Ludhiana News - Times of India,"Ludhiana: The outbreak of corona virus in China has dented business prospects of some local businessmen, who are frequent travellers to that country for importing goods from that country. A variety of goods, including electronics, sanitary products, rubber products, etc. are imported in huge numbers from China here every month. Spreading of this epidemic has not only put brakes on the travel plans of businessmen to China but at the same time they are anticipating high losses if the situation is not controlled immediately. Giving more information, Ankit Sahni, a city-based importer, said, “After the reports of spread of corona virus in China, I have cancelled my visit to Guangzhou. Due to the last minute cancellation, I will have to bear losses on account of cancellation of my air ticket and forfeiture of my hotel booking. Besides this, it is going to cost me dear as I was going to China to finalise a deal of import of tyres and now, I will have to wait until the situation improves there.” According to Sanjeev Sharma, an auto parts importer, “Wuhan, which is said to be the epicentre of the corona virus, is one of the largest industrial hubs of China and there is a huge number of automotive component factories located there. The outbreak of the deadly virus has already started casting its shadow on business as since Monday, we are unable to contact one of our prominent suppliers, who is based in Wuhan. If the epidemic is not controlled, along with the mounting loss of lives, it will also lead to huge losses for both businessmen in China and those who trade with them.” According to Ravi Kant Chabra, another importer based in Ludhiana, “This corona virus problem is evident from the fact that how hard it is now to do international business. Spreading of such epidemics not only makes travelling and doing business in such countries impossible but at the same time it also has its side effects like temporary closure of trade or stringent checking of consignments, which in turn causes delays in shipments, eventually resulting in heavy losses for us.” Download The Times of India News App for Latest City News."
