News Title,Content
"India’s first demonetisation, a 100 years ago in Hyderabad | Hyderabad News - Times of India","HYDERABAD: The year 2020 marks the centenary of India's first demonetisation of paper currency. It was in 1920 that the Nizam government in Hyderabad had withdrawn Rupee 1 paper currency from circulation. The Nizam had introduced Rs 10 and Rs 100 paper currency in 1918 and Rupee 1 in 1919 as there was severe shortage of metal particularly silver in view of the World War I. There were, however, no takers for the Rupee 1 note as it had no intrinsic value though backed by a government guarantee, while Rupee 1 silver coin, which was in circulation then, had intrinsic value as it had silver in weight. Moreover, the Rupee 1 note was printed in black. People saw the colour as inauspicious and thus refused to accept it. This forced the Nizam to withdraw the note within one year of its introduction, heralding India's first demonetisation. According to senior banker and expert numismatist Amarbir Singh, the British government had conferred on the princely state of Hyderabad the right to mint its own coins. ""During World War I, due to extreme shortage of metal, especially silver, Hyderabad was finding it difficult to meet the demand of money markets. The British government suggested that Hyderabad improve the situation by issuing paper currency. This resulted in the Hyderabad Currency Act 1917/1918 which got Nizam VII, Mir Osman Ali Khan's assent on June 4, 1918,"" he said. In 1861, the British government became the sole issuer of paper currency and all private banks, which had their own banknotes, were directed to withdraw them. But the first legal tender (Re 1) issued by a government (Hyderabad state) was withdrawn in 1920, thus officially the first demonetisation drive. The Nizam issued Re 1 and Rs 5 banknotes in 1919. Later, he issued Rs 1,000 banknote in 1926. The withdrawn currency was kept in the royal treasury and destroyed in March 1939. However, about 8,500 notes remained with the public. Waterlow, which had the contract to print money, had printed two crore notes. During transit, 608 notes were stolen in Bombay. The government destroyed 20.92 lakh notes which were in circulation. Another 1,78,98,642 notes, which were not issued, were also destroyed, Amarbir said, adding that while five notes were kept as souvenirs in the mint, 245 were preserved in the central treasury of the Nizam. He said soon after the Nizam government destroyed Re 1 notes, World War II began in September 1939, once again creating shortage of metal, and the need to reintroduce Re 1 note arose. Security press at Nasik turned down the request to print Re 1notes citing circumstances beyond its control. This led to the birth of ‘made in Hyderabad’ Re 1 as the new notes were printed at government press in Malakpet. Download The Times of India News App for Latest City News."
"Indian economy experienced abrupt slowdown in 2019, but it's not in a recession: IMF - Times of India","WASHINGTON: The Indian economy experienced some abrupt slowdown in 2019 due to turbulence in non-banking financial institutions and major reform measures such as GST and demonetisation, but it is not in a recession, IMF managing director Kristalina Georgieva has said. ""The Indian economy indeed has experienced an abrupt slowdown in 2019. We had to revise our growth projections, downwards to four percent for last year. We are expecting 5.8 per cent (growth rate) in 2020 and then an upward trajectory to 6.5 percent in 2021,"" Georgieva told a group of foreign journalists here on Friday. ""It appears that the main reason for this slowdown was the non-banking financial institutions experiencing a turbulence,"" she said on the eve of Union finance minister Nirmala Sitharaman presenting the annual budget in Parliament on Saturday. She said India had undertaken some important reforms that over the longer term would be beneficial for the country, but they do have some short-term impact. livebudget updatesmoreupdates""For example, coming with the unified tax system, and the demonetisation that took place. These are steps that over time are beneficial, but of course they might, might be somewhat disruptive over short term,"" Georgieva said in response to a question. The International Monetary Fund (IMF) Managing Director said that there is not a lot of fiscal space in India. ""But we also recognise that the policies of the government on that side, on the fiscal side have been prudent. We will see how the reading of the budget, the submission of the budget goes, tomorrow,"" she said. In the medium-term, she said, the IMF remains optimistic about India. ""This is why we see that upswing potential for the growth in the country,"" she said. Georgieva said that the current economic slowdown cannot be described as a recession. ""No.... You're far from that. But it is a significant slowdown, not the recession,"" she said. The IMF managing Director noted that the consumption in India also slowed down and that contributed to the overall slowdown in the economy. The IMF would be keen to see what India does to get relatively sound macroeconomic fundamentals to pay off in terms of better growth trajectory, she said ahead of the budget. One thing that is important for India is that budgetary revenue have been below target. ""The country knows that. The finance minister knows it. They need to increase budgetary revenue collection so they can improve their fiscal position. I said it's tight on the spending side, but I also want to stress that there is room to improve collection on the revenue side,"" she said. Download The Times of India News App for Latest Business News."
"Three years after note ban, ‘deposits’ continue in temple hundis | Mysuru News - Times of India","MYSURU: Three years after demonetisation, scrapped currency notes of 500 and 1,000 denomination continue to pour into temple donation boxes, including at Chamundeshwari and Srikanteshwara in Nanjangud, some 26km from Mysuru. Temple functionaries said the hundis are opened once a month and they continue to find bundles of demonetised notes offered by devotees. All the demonetised notes received through hundis are being preserved and government authorities have been informed, they said. The Srikanteshwara temple received 55 notes of 500 denomination and about eight notes of 1,000 denomination early this week. The Chamundeshwari temple hundi has accumulated invalid notes with a face value of Rs 12,000. Officials said though the notes were scrapped in December 2016, there has been no let-up in the flow to hundis since. “We have sought the government’s directions on how to dispose of these notes since there is no specific protocol so far,” said Muzrai tahsildar Yathiraj. “There are 19 hundis in Chamundeshwari temple alone and we continue to receive demonetised notes from all these boxes. Notes with a face value of Rs 15,000 were retrieved earlier,” said Govindraju, an official. Venkatachalpathy, lead bank manager of Mysuru district, said the notes could be destroyed as they are just bits of paper now. “It is an offence to possess more than two demonetised notes. Banks won’t take the notes either since they are worthless so they can be destroyed,” he said. Download The Times of India News App for Latest City News."
 Nepal hopes India will take back demonetised notes worth Rs 7 crore | India News - Times of India,"KATHMANDU: Nepal's Central Bank is saddled with Rs 7 crore of demonetised Indian currency but India is not making ""adjustments"" to take back the notes, Foreign Minister Pradeep Kumar Gyawali said on Friday, hoping the scrapped notes would be accepted by its neighbour. The Indian government on November 8, 2016 announced the ban on old 500 and 1,000 rupee notes to curb black money in the system. ""Around INR 7 crore (demonetised currency) is deposited in our Central Bank. It went through the banking channel, I don't know why India is not making adjustment (in the matter),"" Gyawali said. Demonetisation caught Bhutan and Nepal off guard where Indian currency is widely used. ""We are not talking about the money which was transacted through the informal channels but it was through the banking channel. So I am requesting the Indian side to think about this pending issue,"" Gyawali said. Of the Rs 15.41 lakh crore worth Rs 500 and Rs 1,000 notes in circulation on November 8, 99.3 per cent or notes worth Rs 15.31 lakh crore have returned to the banking system. ""It is upto India to take a decision. We have been requesting the Indian government for the past couple of years. We hope India will respond positively,"" Finance Minister Yuba Raj Khatiwada told PTI. The land-locked country depends on India for trade and supplies. Indian currency is widely used in Nepal for day-to-day transactions, especially in the border areas. Download The Times of India News App for Latest India News."
Crime branch arrests 3 with demonetised notes | Aurangabad News - Times of India,"AURANGABAD: The crime branch of the city police arrested three people from the Kat Kat gate area of the city and recovered demonetised currency notes with a face value of Rs 500 and Rs 1,000, amounting to Rs Rs 25.8 lakh. Citing the seizure record, crime branch inspector Madhukar Sawant said that total 4,180 demonetised currency notes had been recovered from the suspects. Of them, 980 were notes having a face value of Rs 1,000 and 3,200 notes had a face value of Rs 500, taking the total tally to Rs 25.8 lakh. The suspects were carrying the notes in two different cloth bags and had gone to Kat Kat gate area in an autorickshaw to exchange the notes. Police sources said that assistant inspector Gautam Wavle received a tip-off about the suspects reaching Kat Kat Gate area for exchanging the demonetized notes with valid currency notes. Accordingly, a trap was laid by the crime branch team. Soon after the team intercepted the auto-rickshaw, one of the suspects identified as Umar Ghulamnabi Shaikh (37) from Jadhavwadi started fleeing with the bags containing the demonetised notes. While chasing, both Wavle and the suspects fell on the road and sustained minor injuries. The suspects were detained for interrogation on Monday. After carrying out a detailed panchnama, an offence was registered against the suspects under relevant sections of The Specified Bank Notes (Cessation of Liabilities) Act, 2017, at the Jinsi police station on Tuesday. Authorities said that apart from Umar, the two other suspects have been identified as Moin Munir Shaikh (35) from Kanchanwadi and Azharuddin Ahmed Syed (37) from Indiranagar area in the city. “One of the suspects is a real-estate agent while the two others are autorickshaw drivers.Preliminary probe has revealed that they were offered a few thousand rupees for exchanging the demonetised notes,” said Sawant. Assistant commissioner of police (crime) Nagnath Kole said that the crime branch had identified the man, who had handed over the demonetised notes to the suspects, and that soon he would be summoned for interrogation. Though the offence has been registered at Jinsi police station, the crime branch has been asked to probe the matter given the gravity of the case. Download The Times of India News App for Latest City News."
"Demonetisation: Three years after notebandi, ‘corrupt’ jewellers face heat | India Business News - Times of India","NEW DELHI: Armed with data, tax authorities have cracked the whip on jewellers who made huge cash deposits post demonetisation in 2016 but could not explain how they generated so much money when they were showing low income in their tax returns. Sample this: A jeweller, who had disclosed income of under Rs 1.2 lakh, deposited Rs 4.1 crore cash in just three days. In another case, cash deposits during two days added up to nearly Rs 3.3 crore when the taxable income was under Rs 2.7 lakh. In yet another case, a jeweller with income of Rs 54 lakh deposited over Rs 2.5 crore cash. While most jewellers were unable to explain the source of cash, an analysis by the income tax department showed that many jewellers under scrutiny failed to report the deposits in their returns for assessment year 2017-18 (financial year 2016-17), officials told TOI. The tax department also looked at the utility bills of some of these jewellers and found that in one case, where the business shot up to a few crores, the electricity bill was less than Rs 1,500. livebudget updatesmoreupdatesThere were other aspects too which suggested it was not business as usual. A jeweller in Gujarat, for instance, had deposited Rs 4.1 crore cash from November 8, 2016, when demonetisation was announced, and December 30, 2016. But bank records accessed by the tax department showed that the businessman had only deposited Rs 44,260 during the corresponding period in 2015. In many cases, jewellers sought to pass off the funds as unsecured loans. So, in one case, the deposits were of the order of Rs 52 crore while the tax return showed an income of Rs 3.2 crore. An official said the jeweller had only Rs 2.6 lakh as cash in hand on November 11, 2015, but it shot up to Rs 6.2 crore a year later. “There was no satisfactory explanation for the 238-fold increase,” an officer said. While the records showed the cash as proceeds of purchases by unregistered dealers or individuals, during scrutiny many jewellers could not furnish complete bills. There were many jewellers who had shown cash advances of under Rs 20,000 from unknown customers, which were deposited into the bank account only to be returned later. A jeweller, who had reported an annual income of Rs 26 lakh, claimed to have received Rs 9.6 crore as cash advances from 573 persons between November 5 and 8, 2016. But when asked, he could not furnish addresses or contact numbers of these people. Many jewellers who had made large cash deposits told tax authorities that due to the Uri strike and Indo-Pak tension, people opted for gold and silver purchases as they are perceived as safer investment bets. “The fact is that Uri strikes were made in September 2016 and no such discernible pattern of advance receipts was noticed in the case of other jewellers,” the officer said. Download The Times of India News App for Latest Business News."
Quartet who used demonetised notes to cheat duo held | Bengaluru News - Times of India,"Bengaluru: Four people who allegedly cheated a cabbie and his cousin by claiming they could get demonetised currency notes sold to people who would deposit them with Reserve Bank of India (RBI) have been arrested. Banned notes with a face value of Rs 1 crore have been recovered from them. Rajendra Prasad alias Rajendra, 49, of KR Puram, Suresh Kumar alias Suresh, 40, of Wilson Garden, Shanawas, 45, of Adugodi and Sathish K, 40, of Deepanjalinagar, were arrested after cab driver DM Nagaraju, 52, of Bagalur Cross near Yelahanka filed a complaint against the quartet and alleged they’d cheated him and his cousin. Preliminary probe revealed Rajendra befriended Nagaraju at an Indira Canteen in Malleswaram in the first week of November 2019. He kept in touch with him and gained his confidence. He told Nagaraju he could help him make money by trading in demonetised currency. According to Nagaraju, Rajendra told him he knew people in possession of demonetised currency who were ready to sell it at 10% the face value and also those who would buy it at a higher price and exchange it with RBI. “Rajendra stage-managed a deal where an acquaintance sold Nagaraju banned notes with a face value of Rs 1 lakh for Rs 10,000 and arranged for another man to pick them up for Rs 15,000 the next day. Thinking he could make easy money in this business, Nagaraju came on board,” a police officer said. Nagaraju contacted his cousin Rajanna SD and the duo decided to invest. They arranged for Rs 5 lakh each and purchased banned notes with Rs 1 crore face value (Rs 500 and Rs 1,000 denominations) on January 16. Rajendra promised to get them sold in three days. The fraudsters met Nagaraju and Rajanna at Hebbal on Monday and collected the notes, saying they would contact them soon. But the quartet didn’t return and their mobiles remained switched off. Nagaraju realised they had been cheated and knocked on the doors of Hebbal police. A team headed by inspector Ashwatha Gowda J and sub-inspector Rajesh VM swung into action and arrested the four men. “We seized the demonetised currency from the accused. They claim to have collected it from a man in Kerala. We are questioning them about others involved in the fraud,” a police officer said. Download The Times of India News App for Latest City News."
Income tax department lets ‘deserving’ assessees to pay up 20% tax demand in parts - Times of India,"(This story originally appeared in  on Jan 21, 2020)MUMBAI: What does the taxman do when the money market dries up and businesses struggle? It tries to figure out a way to inch towards a punishing tax target that the government has set by giving a little breathing space to companies and businesses — the prime taxpayers. Mumbai, which accounts for the highest contribution to income tax in the country, is trying it out. Amid tight liquidity and a tough business environment, tax commissioners in the financial capital decided on Monday to allow “deserving” assessees pay in instalments the amount they are required to fork out after challenging a tax demand order. After receiving a demand order from the assessing officer of the Income Tax (I-T) department, a tax payer has to pay 20% of the demand within a month once the order is challenged before the Commissioner of Income Tax (Appeals), the first appellate authority. This amount can now be paid in multiple instalments till end March. livebudget updatesmoreupdates“However, this will be on a case to case basis and is not part of any rule. Instructions have gone out to commissioners in Mumbai to consider genuine requests from assesses so that don’t have to pay the entire 20% at one go. The payments can happen in three or five or six instalments, depending on the case,” a senior tax officer told ET. The tax demands pertain to assessment year 2017-18 (or, the financial year 2016-17 when the Narendra Modi government demonetised all Rs 500 and 1000 rupee currency notes). A flurry of notices, raising tax demand, were issued by the I-T department before December 31, 2019 when assessments for FY 2016-17 became time-barred. The department questioned the authenticity of deals that resulted in surge in cash deposits with banks following demonetisation of currency bills. “This is a small relief given liquidity positions of assesses. No revenue is being sacrificed,” said the official. While tax officials said this might not have been the first time that payments in instalments were permitted, tax professionals felt that the department appeared a little considerate this year — probably due to a sluggish growth in demand. The 20% payment rule on challenging a tax order is in accordance with the guideline of the Central Board of Direct Taxes and not part of a statute. While the ruling on the appeal before the Commissioner of IT (CIT) Appeals may take a long time to come, the 20% payment has to happen soon after a month. “Assessees may try to buy some time by first writing to the assessing officer (AO). Once the AO rejects the application, which typically happens immediately, the assessee can move the principal commissioner followed by the chief commissioner. Normally, if an application is pending before a higher authority, the lower authority will take any action. But such applications within the tax administration may help the taxpayer delay the 20% payment by only a few weeks.. While some feel that the department may be offering an instalment mechanism to save time, I feel it is primarily driven by the present business climate,” said a tax practitioner. Download The Times of India News App for Latest Business News."
"Rs 1 crore income-tax notice to Kalyan labourer: Cops seek KYC, bank transaction details | Thane News - Times of India","By: Pradeep Gupta KALYAN: The Titwala police investigating the case of a Kalyan labourer receiving a notice from the income-tax department asking him to pay Rs1.05 crore as tax for the money that was ""deposited"" in his bank account during demonetisation, has sought his KYC details and bank statement from a private bank where an account was opened in his name. On January 16, TOI had reported that Bhausaheb Ahire (35) had received a notice from the I-T department on September 5, 2019, seeking explanation on a Rs 58 lakh deposit in his account maintained by a private bank. Ahire claimed the fraudsters forged the signatures too, and the photograph on the PAN card copy submitted to the bank was different. Ahire said the matter was put to rest after meeting bank officials, but on December 7, 2019, the I-T department again issued him a notice asking him to pay tax of Rs 1.05 crore for the income he had earned in the year 2017-18 and said it would begin the recovery process if the tax was not paid in 30 days. He approached the police saying fraudsters had created a fake bank account in his name using forged documents, showing him as the director of a private firm, and issued cheque payments of Rs 37 lakhs to the firm of the Rs 58 lakh deposited in the account from November to December 2016. Download The Times of India News App for Latest City News."
"Rs 1 crore tax notice to Kalyan daily wage labourer: Cops seek KYC, transaction details | Thane News - Times of India","KALYAN: The Titwala Police probing Kalyan daily wage labourer Bhausaheb Ahire's income-tax notice case of Rs 1.05 crore, has sought KYC details and bank statement from a private bank in Mumbai where unidentified person opened an account in name of Ahire and made transactions during demonetisation to convert black money into white. The police acting on the complaint of Ahire, who complained to the police informing about an unidentified person using his forged documents opened a bank account in his name showing him director of a private firm and made lakhs of rupees transaction during the demonetisation. Meet the man who got Rs 1 crore tax noticeActing on Ahire's complaint, police on Saturday recorded the statement of Ahire and written to Mumbai based bank's branch demanding entire bank account related documents, including KYC and bank transaction statement. The police said KYC details of bank account would reveal that fraudster used forged documents to open the account. TOI on Tuesday reported about the case of Ahire who recently received notice by I-T department asking to pay Income Tax of Rs 1.05 crore for making undisclosed transactions of cash and cheques during the demonetisation period from November 2016 to December 2016. The notice shocked Ahire who was not aware of such an account in his name. Upon getting notice, Ahire feeling cheated by the fraudster and approached the income-tax department as well as police demanding action in the case. Download The Times of India News App for Latest City News."
