News Title,Content
Maharashtra Zilla Parishad Election Results: BJP loses zilla parishad in Nitin Gadkari and Fadnavis' home turf | Mumbai News - Times of India,"MUMBAI: In a jolt to former CM Devendra Fadnavis and Union minister Nitin Gadkari, both of whom are from Nagpur, BJP has suffered a defeat in the Nagpur zilla parishad polls, results of which were announced on Wednesday. Of six zilla parishads in Maharashtra for which elections were held on Tuesday - the first since the NCP-Cong-Shiv Sena coalition came to power - the ruling Maha Vikas Aghadi won 4. The Prakash Ambedkar-led Vanchit Bahujan Aghadi retained control over one (Akola) while BJP wrested one (Dhule) from Congress. Three of the four zilla parishads won by the MVA - Nagpur, Palghar and Washim - were earlier with BJP; the fourth, Nandurbar, was with Congress. BJP, however, emerged as the party with the maximum number of seats. Of the total 332 seats, it won 103 (as against 74 in the 2013 polls), while the Congress tally dropped from 100 to 73 and NCP's from 53 to 46. Sena's numbers rose from 36 in 2013 to 46. BJP loses in Gadkari’s & ex-mantri’s villagesBJP was tied with the ruling Congress at 23 seats in Nandurbar, where Congress has traditionally been strong, but lost out due to the MVA alliance. Contesting the polls together in a pre-poll pact against BJP helped the ruling coalition secure a win big. In the Nagpur ZP, BJP nominees lost to Congress candidates from Dhapewada and Kamptee, the villages of Gadkari and former energy minister Chandrashekhar Bawankule. Both Gadkari and Fadnavis had campaigned extensively in the entire district. BJP won 15 seats as against 22 in 2013 while Congress 30 as against 19 earlier, NCP 10 compared to 7 earlier, and Sena 1, when it had won 8 earlier. Salil Deshmukh, son of home minister Anil Deshmukh, won the zilla parishad election from hometown Katol, represented by his father in the state assembly. State NCP president and water resources minister Jayant Patil said the results showed this was the beginning of the downfall of BJP. ""It's time for Fadnavis and Gadkari for self-introspection. Not only people of Nagpur, but elsewhere in the state too, people have rejected BJP,"" Patil said. State Congress president Balasaheb Thorat had taken the lead in contesting the ZP elections under the MVA banner and had set up a coordination committee under Sena's Aaditya Thackeray. ""The outcome of the zilla parishad elections shows people have lost faith in BJP,"" Thorat said. Download The Times of India News App for Latest City News."
Maharashtra ZP Election results 2020: Congress surges ahead in Nagpur | Nagpur News - Times of India,"NAGPUR: The Congress- (NCP) combine handed a humiliating defeat to the ruling BJP in the elections to the prestigious Nagpur Zilla Parishad - the home turf of leader of opposition Devendra Fadnavis and the RSS. * Of the total 332 seats for which voting was held in six ZPs, the BJP bagged 103, Congress 73, NCP 46, Shiv Sena 49, VBA 42, while Independents and others secured 14 seats. *In the 58-seat Nagpur ZP for which polls were held, the Congress bagged 30, the NCP 10, while the BJP managed only 15 seats. * Besides Nagpur, the BJP was lost in Palghar, Nandurbar and Washim, was neck-to-neck with Congress in Dhule, while the Prakash Ambedkar-led Vanchit Bahujan Aghadi (VBA) bagged surprise control of Akola Zilla Parishad (ZP). * Final ZP Nagpur tally: Cong - 31 NCP - 10 BJP - 15 PWP - 1 Sena - 1 Total 58/58 * The BJP also lost the Zilla Parishad seat in party leader and Union minister Nitin Gadkaris native village Dhapewada in Nagpur district, an election official said. (PTI) * Results declared on 38 seats in Akola: Vanchit Bahujan Aghadi - 15 Shiv Sena - 9 BJP - 5 Independent - 4 NCP - 4 Congress - 2 * Final result for 52 seats Washim zilla parishad: Congress - 9, NCP - 12, Janvikas Aghadi - 7, Vanchit Bahujan Aghadi - 8, BJP - 7, Shiv Sena - 6, Sawbhimani Shatkari Sangtna - 1 Independents - 2. * Results for 54 out of 58 seats are out. Congress - 31, BJP - 14, NCP - 10, PWP - 1, Sena - 1, Others - 1. * Nagpur: Congress- 21, NCP- 8, BJP- 15, Shiv Sena- 1, others- 1 * Nandurbar zilla parishad results final result: BJP - 23, Congress 23, Shiv Sena - 7, NCP- 3 * BJP leading in Dhule. * Of the total 54 seats in Nagpur Zilla Parishad, Congress has so far won 10 seats, NCP 4 and BJP managed to get 5 seats. Total number of seats are 54. * State home minister and NCP leader Anil Deshmukh's son Salil Deshmukh won from Mendpajara seat in Nagpur. * The Shivsena-Congress-NCP is fighting in allience against the BJP. * A Congress candidate won from Koradi in Nagpur which comes under BJP ex-minister Chandrashekhar Bawankule constituency. * A BJP candidate lost to Congress candidate in Dhapewada seat in Nagpur which is the native place of Nitin Gadakari. * The election for Nagpur zilla parishad and panchayat samitis had witnessed around 67% polling on Tuesday. * Counting of votes is being held at 13 tehsil offices. Some 2,000 government staffers have been deployed for counting duty. Download The Times of India News App for Latest City News."
"Maharashtra: Shiv Sena changes its stripes, steps out of Matoshree for parleys | Mumbai News - Times of India","MUMBAI: The Shiv Sena is eager to alter not only its political agenda, but also its style of functioning, as it holds power-sharing talks with NCP-Congress, said analysts on Wednesday. Gone are the days when politicians of every hue—LK Advani, Sharad Pawar, Sushama Swaraj, Arun Jaitley, Pramod Mahajan, Vilasrao Deshmukh as well as Rajinikanth—would trek to Matoshree to pay court to Balasaheb Thackeray, or hold political parleys with him. Pranab Mukherjee, accompanied by Pawar, too had visited Matoshree to seek Sena’s support during the 2012 Presidential election, analysts pointed out. But over the last week, the trend has changed as the Sena snapped ties with the BJP and began to build bridges with NCP-Congress to win the CMship following the assembly poll results. On Monday, Uddhav Thackeray met Pawar at Taj Lands End in Bandra to discuss the modalities of forming the NCP-Sena-Congress regime in Maharashtra—something unheard of during the high noon of the BJP-Sena alliance, said party watchers. Moreover, Sena emissaries have begun to fly to Delhi to hold negotiations with either Ahmed Patel or Amit Shah. “From Dadar (where Sena Bhavan is located) to Delhi, the Thackerays have come a long way,” remarked a Sena chronicler. On Wednesday too, Uddhav held meetings with senior Congress leaders, including Ahmed Patel and former CM Ashok Chavan, at Trident in BKC. Pawar’s residence Silver Oak and the YB Chavan Centre at Nariman Point were the other hubs of the hectic parleys. Uddhav also held telephonic talks with Sonia Gandhi in a bid to extract support of her party’s 44 MLAs, his first direct contact with the Congress leader who was routinely slammed by Balasaheb and Saamna for her Italian antecedents, added the Sena leader. “The Sena’s jet has at last touched the ground. The party has realised that it will have to stand at the doorstep of the NCP-Congress if it needs their backing to occupy the CM’s post,” said a senior BJP leader. Recalling that BJP national president Amit Shah had visited Matoshree twice during the Lok Sabha polls in April, he said, “Pawarsaheb and Ahmed Patel won’t make a beeline to Kala Nagar even if they need Sena’s backing.” “Devendra Fadnavis indulged Uddhav Thackeray to a great extent during the last five years chiefly to ensure that the saffron government had a smooth sailing in the state. But Thackeray will have to adhere to protocol and niceties with his new friends. He should learn the rules of the game,” the BJP leader added. Fadnavis would often spend time with the Thackerays at Matoshree, chatting up Aaditya on the sidelines about sports, music and books, it is learnt. In contrast, Pawar is a hardnosed pragmatist who goes by the book, said his NCP colleagues. “Pawarsaheb wouldn’t indulge his political allies beyond a point. Political negotiations are held in a formal, yet cordial atmosphere, measure for measure,” said a Pawar confidant. Download The Times of India News App for Latest City News."
BMC pulls down Sainiks’ chief minister dream banners | Mumbai News - Times of India,"MUMBAI: Days after the saffron allies fell out, the BMC has pulled down illegal hoardings and banners at Bandra (East) put up by Shiv Sena supporters that expressed their desire to see party chief Uddhav Thackeray occupy the chief minister’s post. Sena is the ruling party in the BMC. The BMC has called it “routine work” and Sena leaders too have downplayed the action. The illegal posters and banners were put up on the footpath and the road divider outside Shiv Sena chief’s housing society at Kalanagar in Bandra (East). BMC officials said there was no specific complaint regarding the hoardings and that they acted on their own. Many a times, politicians and their supporters put up illegal hoardings and posters to please their leaders. The Sena split with the BJP over the chief minister’s post. On Wednesday, Sena corporators downplayed the issue. Sena mayor Vishwanath Mahadeshwar said, “It must be routine BMC work.” Many a times, illegal posters cover traffic signal indicators, causing inconvenience to motorists. The BMC had removed 21,699 such hoardings and banners between January and October, over 60% of which were of political parties. A few days ago, MNS secretary Sandeep Deshpande was arrested along with three party activists for allegedly preventing BMC officials from removing his party hoardings put up at Shivaji Park for Diwali. They were released on bail later. Download The Times of India News App for Latest City News."
Drought concessions for rain-hit parts: Maharashtra chief minister Devendra Fadnavis | Pune News - Times of India,"MUMBAI: Chief minister Devendra Fadnavis on Wednesday asked the administration to extend the concessions that drought-affected areas get to the areas affected by unseasonal rainfall.  In drought-affected areas, the state government gives concessions like waiver of electricity bills for farmers, revenue tax collection waiver, waiver of examination fees for students from affected areas, free state transport bus travel to students and a stay on the recovery of agriculture loans from affected farmers. Fadnavis chaired a meeting with guardian ministers in the state to review the damage caused by unseasonal rainfall.  The Shiv Sena has been at loggerheads with the BJP over government formation after the poll results in the state last month and has demanded that the government announce a blanket relief of Rs 25,000 per hectare for affected farmers. ""The situation is very grim in these areas,"" Shiv Sena politician Ramdas Kadam said. Uddhav Thackeray has been touring some of affected districts and had sent suggestions that his ministers tabled in the meeting. Finance minister Sudhir Mungantiwar said that of the 70 lakh hectares believed to have been damaged, surveys have been completed on 60 lakh hectares. The state has already sanctioned 10,000 crore for relief to farmers. Download The Times of India News App for Latest City News."
"Maharashtra elections: No new deal with the BJP except for 50:50, says Sanjay Raut | Mumbai News - Times of India","MUMBAI: Sanjay Raut, Sena MP and Saamna executive editor, said on Wednesday that the party had got no proposal from the BJP on government formation and again dismissed the possibility of the Sena reaching any new agreement with the BJP except the “50:50” formula that was “agreed upon” prior to the polls. Raut also met Sharad Pawar again on Wednesday, his second meeting with the NCP chief in two weeks. He clarified it was a courtesy meeting. “He (Sharad Pawar) is a senior leader of the state and the country. He is worried about the political situation in Maharashtra today. We had a brief discussion,” Raut said. Later, Congress Rajya Sabha MP Hussain Dalwai held talks with Raut at the Saamna office in the city. “There should be no BJP CM in Maharashtra,” Dalwai told mediapersons. Dalwai had last week written to Congress president Sonia Gandhi saying the party should support a Shiv Sena-led government in Maharashtra. “The Congress and NCP should take all necessary steps to keep the BJP out of power. I had a very positive discussion with Raut,” he said. Raut said the BJP was free to meet governor B S Koshyari whenever they wished to. Senior BJP leaders are slated to meet the governor on Thursday. “We met the governor. The Republican Party of India leader Ramdas Athawale also met him. And if BJP leaders are meeting the governor (to stake claim to for m the gover nment), then they should for m the gover nment as they are the single largest party,” Raut said. “We have been saying all along that the BJP, being the single largest party, should form the government,” he added. Responding to Pawar’s statement asking the BJP and Sena to form the state government at the earliest, Raut said, “He is right. The party with 105 MLAs should form the government.” Raut also claimed again that there was a “consensus” between the BJP and his party before the assembly elections on sharing the chief minister’s post. No fresh proposal has been received from the BJP or sent to it from the Sena, he added. To a question on when there would be a consensus on the chief minister’s post, Raut said, “There was a consensus on the chief minister’s post before the elections.” Raut has come in for strong criticism from the pro-RSS and pro-BJP daily Tarun Bharat from Nagpur. The paper has accused him of being the Sena’s “parrot” and of being reckless in his statements. CM Devendra Fadnavis had, after the election results, accused Saamna, edited by Raut, of derailing saffron talks and ties. Download The Times of India News App for Latest City News."
Sharad Pawar: Keen to see Amit Shah skills in govt formation | Mumbai News - Times of India,"MUMBAI: Reiterating that the mandate for his party was to sit in the opposition, NCP chief Sharad Pawar said on Wednesday that the BJP-Shiv Sena combine should take the lead and form the government as early as possible to avoid a constitutional crisis in the state. Sena MP Sanjay Raut, who had met Pawar last week,   visited the NCP chief again   at his residence on Wednesday. Asked about Raut’s claim that the Sena had the support of 170 legislators, Pawar said he was not aware how Raut had got the figure of 170. “Raut has been meeting me quite regularly, but so far there has been no proposal from him on government formation, particularly a Shiv Sena-led government.” No talks between Mohan Bhagwat, Uddhav Thackeray yet: Sanjay RautLive updates: Maharashtra govt formationWhile Pawar, responding to theories about the NCP-Congress supporting a Sena-led government, said the decision would have to be a “collective” one as NCP and Congress had jointly contested the assembly elections, Congress leader and former CM Ashok Chavan said the general consensus in his party was that “all-out efforts should be made to keep the BJP out of power.” Pawar said, “Sena and BJP had contested the elections jointly. The saffron combine should form the government as the mandate is in their favour. We were unable to secure a clear majority, and we have been given the mandate to sit in the opposition. We will play the role of a constructive opposition.”   Read also: BJP to call on governor, Uddhav to meet Sena MLAs  Asked if the NCP would form the government with support of non-BJP parties, Pawar said that as of now, there was no possibility as NCP did not have the required numbers. “In a house of 288, we require 144 for formation of government. With just 54 legislators, it will not be wise to stake claim to form the government. But we will wait till the end, I do not know what will happen tomorrow,” he noted. When mediapersons said BJP president and Union home minister Amit Shah had not yet come to Maharashtra for government formation, Pawar said he was keen to see his skills in government formation. “Shah is a troubleshooter and in the past, he had visited a few states during government formation. But he is yet to visit Maharashtra,” he said. Sanjay Raut says BJP should stake claim to form government, show majorityA few days ago, Pawar added, he had had a meeting with Congress president Sonia Gandhi, in which he briefed her on the political impasse in the state. “I was to meet Sonia Gandhi soon again, but as of now, there is no agenda to meet her,” Pawar said. Ashok Chavan said the political situation in Maharashtra was very fluid and it would be difficult to predict what would happen. “First the Sena will have to come out of the coalition, then the Congress and NCP will have to sit together and decide the future course of action,” he said. Asked if many Congress legislators had sought permission to extend outside support to the Sena, Chavan there was no such proposal, but the general view was that the BJP should be kept out of power. “As Pawar said, we are not in a position to form the government, and the mandate for us is to sit in opposition. We will play that role effectively,” Chavan said. Download The Times of India News App for Latest City News."
Punjab Police secure Budda's extradition from Armenia | Chandigarh News - Times of India,"CHANDIGARH: Punjab Police is set to arrest gangster Sukhpreet Singh Dhaliwal alias Budda from the Delhi airport after securing his extradition from Armenia. Budda was scheduled to land around midnight at Delhi airport and would be taken into custody by a team of Punjab Police, said DGP Dinkar Gupta. The chief of the Davinder Bambiha gang, Budda was wanted in more than 15 criminal cases, including murder, attempt to murder, extortion and under the Unlawful Activities Prevention Act (UAPA) in Punjab and Haryana. Budda had claimed responsibility on his Facebook account for the elimination of Maninder Pal Bittu, an activist of Dera Sacha Sauda who was murdered inside Nabha jail. He is also said to be in contact with pro-Khalistan elements. He was also allegedly behind the extortion and threat calls to famous Punjabi singer and actors, including Gippy Grewal, and businessmen. A well-known Punjabi singer, Karan Aujla, was also attacked in Canada on the directions of Budda. Budda was convicted in a 2011 murder case, but had jumped parole in 2016 and was declared a proclaimed offender. Budda, a resident of Moga, had fled the country in the wake of the crackdown launched by the CM Amarinder Singh government against gangsters. Punjab Police had narrowly missed while trying to nab him in the UAE. Eventually, he was traced in Armenia, following which Punjab Police got a look out circular (LOC) and red corner notice (RCN) issued from Interpol, Gupta said. Armenian police had arrested Budda on August 8, following which a few pro-Khalistan activists in Europe had posted an update on Facebook about Budda's arrest, calling him a strong voice for Khalistan in Punjab. Subsequently, a special Punjab Police team under Harkamalpreet Singh Khakh, AIG Counter Intelligence, Jalandhar, and DSP Bikram Brar was deputed to coordinate with Armenia regarding the deportation of the fugitive criminal. Download The Times of India News App for Latest City News."
Punjab: Dera Baba Nanak set to get passport service centre | Chandigarh News - Times of India,"AMRITSAR: To cater to devotees wanting to visit Gurdwara Darbar Sahib, Kartarpur Sahib in Pakistan, especially on the 550th anniversary of Guru Nanak Dev, the government is all set to open a Post Office Passport Seva Kendra (POPSK) at Dera Baba Nanak. This will enable people living near the Kartarpur corridor to avail passport services at their doorstep. According to highly placed sources, the ministry of external affairs will launch the facility at Dera Baba Nanak in the near future in view of the problems faced by pilgrims in obtaining passports. Punjab already has three passport offices, five Passport Seva Kendras and six POPSKs. Six passport camps had been organised in Punjab in the recent past for processing applications of passport-seekers. Passport officer, Amritsar, Munish Kapoor said that POPSKs are set up in the post office buildings where postal staff render passport delivery services, including issuances of token, biometrics and document scans. The POPSKs help in wider coverage of passport services. He said the Regional Passport Office would also hold more camps if the need arises. The demand for passports has risen in the state following the opening of Kartarpur corridor on November 9 as many people want to visit the Kartarpur Sahib gurdwara. Lack of passport is an impediment for many as it is a mandatory identification document as per the Kartarpur Sahib Corridor Agreement signed by India and Pakistan on October 24. Meanwhile, sources said that the government would again take up the issue of waiver of USD 20 service fee levied by Pakistan on pilgrims using the corridor. India had time and again asked Pakistan to do away with the service fee but Pakistan didn’t agree to it . Sources informed that by doing away with the USD 20 the number of pilgrims using corridor would shoot up. Download The Times of India News App for Latest City News."
Maharashtra elections: Two more independent MLAs extend support to BJP | Pune News - Times of India,"MUMBAI: Even as the BJP and its ally Shiv Sena try to resolve issues linked to government formation in Maharashtra after the recently concluded assembly elections, two independent MLAs have extended their support to Devendra Fadnavis and his party. Mahesh Baldi, MLA from Uran constituency and Gondia MLA Vinod Agrawal declared their support to the BJP under the leadership of Fadnavis. Earlier, rebel BJP MLA Geeta Jain had also extended support for him. At least five independent MLAs including Prahar Janshakti Party chief Bacchu Kadu, his party MLA Rajkumar Patel, Ashish Jaiswal, Narendra Bhondekar and Nationalist Congress Party (NCP)-backed independent MLA Shankarrao Gadakh have extended their support to Shiv Sena. The BJP-Shiv Sena alliance won an absolute majority in the Maharashtra assembly polls with the former emerging as the single-largest party with 105 seats. Shiv Sena bagged 56 seats in the elections. After the polls, Shiv Sena is adamant about the implementation of the 50:50 formula proposed by BJP during the 2019 Lok Sabha polls. The formula is a rotational arrangement in which a Chief Minister from each party will split the five-year term equally. ""The important question is who will be the chief minister? When the Lok Sabha elections were held we had decided on the 50-50 formula in the state,"" said Shiv Sena chief Uddhav Thackeray. Download The Times of India News App for Latest City News."
