News Title,Content
" We have changed tactics, bettered drills post Pulwama attack: CRPF DG | India News - Times of India","GURGAON: The CRPF has ""changed"" its tactics and bettered its security drills after the Pulwama terror attack on its convoy that took place almost a year ago, the chief of the force said on Tuesday. CRPF Director General (DG) A P Maheshwari said no one can guarantee that such incidents will not take place in the future owing to the dynamic nature of counter-terror operations. However, his force can assure and ""guarantee"" that terror elements will not have it easy if they have an engagement with the Central Reserve Police Force (CRPF) that has deployed over 70,000 troops for counter-terror operations in the Kashmir valley. ""We are a fighting force. We have bettered our security drills, we have bettered our capability for training, we have bettered in terms of equipment, tactics, mobility and navigation,"" Maheshwari told reporters at a force camp here. ""We have improved. We believe that we learn from setbacks and these should take us towards success. Whatever successes have been there, have emerged out of failure,"" he said. When asked what measures has the CRPF taken over the last year, Maheshwari said the ""adversary keeps trying as also the security forces."" ""I do not say that such incidents will not take place. No body can guarantee that and let us understand that,"" he said. Someone who has done operations knows that guarantee can't be given (against Pulwama type attacks) but we will give guarantee that the possibility that they (terrorists) hit us will not be there and if they even succeed, they will not go alive or we will track their footprints and end the source, the DG said. He said security forces like the CRPF, Jammu and Kashmir Police, National Investigation Agency, Enforcement Directorate and others are working in an ""integrated"" manner in the Kashmir valley to hit at the financial, infrastructure and other roots of terrorist elements. ""So, we all work in an ecosystem... It is not one agency or force that sees a setback or success. It is a holistic perspective,"" he said. ""After the experience of this (Pulwama attack) incident, we have changed our tactics and have changed our capabilities in terms of equipment, training and strategy and consciousness... We have bettered and we will keep doing that,"" the DG said. Forty CRPF personnel were killed when a Jaish-e-Mohammad terrorist rammed his explosives-laden vehicle in a convoy of the force on the Jammu-Srinagar national highway near Pulwama on February 14 last year. Download The Times of India News App for Latest India News."
Noida: Credai hands over allotment letters to families of Pulwama martyrs | Noida News - Times of India,"NOIDA: Builders from various projects in Noida who pledged apartments for survivors of the victims of Pulwama attack have handed over allotment letters to 11 families. The apartments are allocated from their upcoming projects in Noida and Greater Noida. Supertech has donated 2 flats, ATS builders 5 flats, Gaursons 2 flats and BCC builders, 2 flats. Builders conglomerate Credai had nationally identified 30 houses in 15 states for the Pulwama martyrs in March 2019. The Pulwama attack on February 14, 2019 had resulted in the martyrdom of 40 Central Reserve Police Force (CRPF) soldiers. The recipients of the flats in Noida today are from among their surviving families. The recipients were handed the papers in the presence of DIG-CRPF, RK Yadav. The apartments will be handed over in 2021. “The allotment letters were handed over to the families in cooperation with Credai. In March last year, we had expressed his gratitude towards these soldiers, by announcing that homes will be delivered to the families of the martyred soldiers,” Getamber Anand, ex-president of Credai-National said. Download The Times of India News App for Latest City News."
" BJP, Congress spar over whether DSP had link to Pulwama attack | India News - Times of India","NEW DELHI: Congress on Tuesday demanded that the government probe whether Jammu and Kashmir police officer Davinder Singh had any role in last year’s Pulwama terror attack, suggesting a political nexus, prompting BJP to hit back demanding that Sonia Gandhi and Rahul Gandhi explain who was behind the attack if not Pakistan. Singh was posted in Pulwama and Congress’s allegations take into account his name figuring in claims regarding the 2001 Parliament attack and he was also in the frame during the recent visit of foreign envoys to J&K. With Congress claiming a “larger conspiracy”, BJP asked it to explain if it had doubts on who was behind the Pulwama terror attack. “I want to ask Sonia Gandhi and Rahul Gandhi if they have any doubt about perpetrators of the Pulwama attack. If you believe Pakistan was not behind it, then you should tell us clearly as to who were involved,” BJP spokesperson Sambit Patra said. Congress leader in Lok Sabha Adhir Ranjan Chowdhury sought to target RSS and said, “Had Davinder Singh by default been Davindar Khan, the reaction of troll regiment of RSS would have been more strident and vociferous. Enemies of our country ought to be condemned, irrespective of colour, creed, and religion.” Patra accused Congress of linking religion to terror attacks to target Hindus and said the party had a history of doing so. Congress leaders had invented terms like “saffron terror” and “Hindu terror” and had linked RSS to the Mumbai terror attacks, he said. Congress spokesman Randeep Surjewala said, “For how long has Davinder Singh been acting as a conduit for J&K terrorists? What is his connection, if at all, to the 2001 Parliament attack? What is his connection to the Pulwama attack where over 42 jawans lost their lives and where Singh was DSP?” Congress dismissed the police claim that Singh was bringing two terrorists in his car to Delhi for Rs 12 lakh on January 11. “This story is preposterous. There is a larger conspiracy. At whose instance was Singh bringing terrorists to Delhi? Are there any people in echelons of power who are involved with him? Is there a larger conspiracy, is he only a small pawn or a carrier in the larger conspiracy?” Surjewala asked. Rejecting the Congress charge, Patra said, “Congress is best at attacking India and defending and protecting Pakistan.” Pakistani PM Imran Khan and LeT chief Hafiz Saeed would soon be praising Congress for its statements, he said, recalling that Pakistan had used Rahul’s remarks in its plea in the UN on Article 370. Download The Times of India News App for Latest India News."
" Sonia, Rahul should tell who were behind Pulwama attack if not Pakistan: BJP | India News - Times of India","NEW DELHI: The BJP on Tuesday asked the Congress to explain if it had any doubt about who were behind the Pulwama terror attack, in which 40 CRPF personnel were killed last year, and said the opposition party is ""best at attacking India and protecting Pakistan"". BJP spokesperson Sambit Patra hit out at the opposition party after its leaders cited the arrest of Jammu and Kashmir police DSP Davinder Singh for his links to terrorists to take a swipe at the RSS and to allege a ""larger conspiracy"" in the Pulwama attack. ""I want to ask Sonia Gandhi and Rahul if they have any doubt about perpetrators of Pulwama attack. If you believe Pakistan was not behind it, then you should tell us clearly as to who were involved,"" Patra said at a press conference. Rahul Gandhi is working like an ally of Pakistan, he said, accusing the Congress of linking religion to terror attacks to target Hindus and said the party has a history of doing so. Congress leaders has invented terms like ""saffron terror"" and ""Hindu terror"", and had linked the RSS to Mumbai terror attack, Patra said. Linking the Congress to Pakistan, Patra said there are ""too many coincidences"" that show a conspiracy. ""The Congress is best at attacking India and defending and protecting Pakistan,"" he said. While Congress leader Adhir Ranjan Chowdhury in his tweets wondered about the real culprits involved in the last year Pulwama attack, his party colleague Randeep Singh Surjewala asked if Singh was a mere pawn and sought clarifications from Prime Minister Narendra Modi and home minister Amit Shah. Surjewala also alleged a larger conspiracy. Patra also recited limericks to liken the Congress to a ""betrayer"" and a python which devours its mother. Pakistan prime minister Imran Khan and Hafiz Sayeed, chief of terror organisation LeT, will soon be praising the Congress for its leaders' statements, he claimed. Download The Times of India News App for Latest India News."
"Sonia, Rahul should tell who were behind Pulwama attack if not Pakistan: BJP - Times of India","NEW DELHI: The BJP on Tuesday asked the Congress to explain if it had any doubt about who were behind the Pulwama terror attack, in which 40 CRPF personnel were killed last year, and said the opposition party is ""best at attacking India and protecting Pakistan"". BJP spokesperson Sambit Patra hit out at the opposition party after its leaders cited the arrest of Jammu and Kashmir police DSP Davinder Singh for his links to terrorists to take a swipe at the RSS and to allege a ""larger conspiracy"" in the Pulwama attack. ""I want to ask Sonia Gandhi and Rahul if they have any doubt about perpetrators of Pulwama attack. If you believe Pakistan was not behind it, then you should tell us clearly as to who were involved,"" Patra said at a press conference. Rahul Gandhi is working like an ally of Pakistan, he said, accusing the Congress of linking religion to terror attacks to target Hindus and said the party has a history of doing so. Congress leaders has invented terms like ""saffron terror"" and ""Hindu terror"", and had linked the RSS to Mumabi terror attack, Patra said. Linking the Congress to Pakistan, Patra said there are ""too many coincidences"" that shows a conspiracy. ""The Congress is best at attacking India and defending and protecting Pakistan,"" he said. While Congress leader Adhir Ranjan Chowdhury in his tweets wondered about the real culprits involved in the last year Pulwama attack, his party colleague Randeep Singh Surjewala asked if Singh was a mere pawn and sought clarifications from Prime Minister Narendra Modi and Home Minister Amit Shah. Surjewala also alleged a larger conspiracy. Patra also recited limericks to liken the Congress to a ""betrayer"" and a python which devours its mother. Pakistan prime minister Imran Khan and Hafiz Sayeed, chief of terror organisation LeT, will soon be praising the Congress for its leaders' statements, he claimed. Download The Times of India News App for Latest World News."
 China-backed efforts to defuse Indo-Pak tensions post-Pulwama attack: Chinese foreign minister | India News - Times of India,"BEIJING: China had supported the efforts of India and Pakistan to defuse tensions and manage their differences through dialogue following the deadly Pulwama terror attack, Chinese foreign minister Wang Yi said, highlighting behind-the-scenes role played by Beijing. After the attack carried out by Pakistan-based Jaish-e-Muhammad in February that killed 40 CRPF personnel, India carried out air strikes against the biggest training camp of the terror group in Balakot in Pakistan. The air strike was followed by an aerial combat between air forces of the two countries on February 27 when Pakistan jets entered India. While chasing Pakistani jet an Indian Air Force jet crashed in Pakistan occupied Kashmir following which its injured pilot was captured. Pakistan quickly announced to release the Indian pilot, who was subsequently handed over to India. At the height of the Indo-Pak tensions, China sent its vice foreign minister Kong Xuanyou to Pakistan to counsel restraint from Islamabad. In an interview to the ruling Chinese Communist Party's official newspaper, the People's Daily, about China's diplomatic achievements in 2019, Wang mentioned post-Pulwama tensions and Beijing's attempts to bring peace between India and Pakistan. ""During the India-Pakistan conflict, China supported the efforts of the two sides to defuse tensions and manage differences through dialogue,"" Wang said, without directly referring to the Pulwama attack and the aftermath. The transcript of his interview was circulated to media on Tuesday by the Chinese foreign ministry here. Also, Wang mentioned the 2nd informal summit between Prime Minister Narendra Modi and Chinese President Xi Jinping in October at the top of highlights of the Chinese diplomacy in the neighbourhood, saying the meeting helped the two sides to charter the course for the steady growth of their ties. ""There are many highlights in China's neighbourhood diplomacy this year,"" he said. ""First, we have improved and developed relations with our neighbours in an all-round way. President Xi Jinping and Prime Minister Narendra Modi had a successful second summit in Chennai and charted the course for the steady growth of China-India relations,"" he said. Earlier at a symposium on China's diplomacy in 2019 held here on December 13, Wang said the Chennai summit had set the tone for a steady and sound development of ties between India and China. Over the past year, China has comprehensively strengthened relations with neighbouring countries and made positive contributions, promoting regional stability and development, Wang said, while highlighting China's diplomatic outreach in the neighbourhood. President Xi and Prime Minister Modi held around five-and-half hours of one-on-one talks spread over two days as part of the second informal summit in Chennai. ""The two leaders had a long-term and in-depth strategic communication. They decided to deepen pragmatic cooperation in various fields, promote exchanges and mutual learning between civilisations, and maintain a stable Sino-Indian relationship,"" he said. The two leaders held the first informal summit at Wuhan last year followed up with the one at Chennai this year. They have agreed to hold their third meeting in China next year. At the Chennai summit the two leaders agreed to establish a high-level economic and trade dialogue mechanism with the objective of achieving enhanced trade and commercial relations, especially to address India's trade deficit with China which last year mounted to over US $57 billion in US $95.5 billion total trade between the two countries. They also decided to celebrate 2020 as 'Year of India-China Cultural and People-to-People Exchanges' and hold 70 activities to celebrate the 70th anniversary of the establishment of India-China relations. The Chennai summit ""set the tone for the steady and sound development of China-India relations and opened up new prospects for the mutually beneficial cooperation between the two countries,"" Wang said in his address. In his interview to the People's Daily, Wang said China has improved its diplomatic outreach in the neighbourhood. ""On Afghanistan, as part of its shuttle diplomacy, China has facilitated the intra-Afghan dialogue and the China-Afghanistan-Pakistan and the China-Russia-US consultation, and hosted the first China-Russia-US-Pakistan four-party meeting,"" he said. ""China has served as a mediator between Myanmar and Bangladesh to encourage a negotiated solution to their outstanding issues,"" he said, referring to the differences between the two countries over the Rohingya refugees. Wang also spoke about improvement of relations between China and Japan, which in the recent past were affected by tensions over the disputed islands in the East China Sea. ""China and Japan reached a 10-point consensus on improving and growing bilateral ties, giving the relationship a strong momentum to return to the right track,"" he said. China-Asean (Association of SouthEast Asian Nations) also progressed over the disputed South China Sea. China claims almost all of the South China Sea. Vietnam, Philippines, Malaysia, Brunei and Taiwan have counter claims. ""China-Asean relations have entered a new stage of all-round development, as evidenced by the important progress made in the consultation on a Code of Conduct in the South China Sea and greater stability in the region,"" Wang said. Download The Times of India News App for Latest India News."
Terror attack in Kashmir: Terrorists fire at CRPF personnel at Pulwama school | India News - Times of India,"PULWAMA: In yet another terror incident, armed terrorists on Tuesday tried to target children by firing at a school building in Jammu & Kashmir's Pulwama. At around 3.15pm, unknown terrorists fired 6-7 rounds on CRPF deployment at a school which was an examination centre in Pulwama's Drabgam. ""Attack was promptly retaliated by the troops,"" the CRPF said. Initial information suggests there have been no injuries so far. The area has been cordoned off and a search operation is under way. CRPF and local police were on duty guarding the centre when the incident took place. Pakistan-based terrorists have been trying to disrupt peace in the Valley by consistently targeting locals and truck drivers. In Video:Terrorists open fire at CRPF personnel at Pulwama schoolDownload The Times of India News App for Latest India News."
Pak Army rejects India's claim of destroying terror camps in PoK - Times of India,"ISLAMABAD: The Pakistan military has rejected as ""false"" the Indian Army's assertion that it targeted at least three terror camps in PoK and said India is welcome to take any foreign diplomat or media to the site to ""prove"" its claim on ground. Indian Army chief General Bipin Rawat said on Sunday that six to ten Pakistan Army personnel were killed and three terror camps destroyed in a retaliatory action by the Indian Army opposite the Tangdhar and Keran sectors in Jammu and Kashmir. Responding to Rawat's claim, Pakistan's military spokesman Major General Asif Ghafoor in a midnight tweet expressed disappointment at Rawat's assertions. ""The Indian Army chief's statement claiming destruction of 3 alleged camps is disappointing as he holds a very responsible appointment,"" Ghafoor said. ""There are no camps let alone targeting those. Indian Embassy in Pakistan is welcome to take any foreign diplomat/media to ‘prove' it on ground,"" he said. He said that the ""propensity of false claims by senior Indian military leadership especially since Pulwama incident is detrimental to peace in the region."" “Such false claims by the Indian Army are being made to suit vested domestic interests. This is against professional military ethos,” Ghafoor said. Download The Times of India News App for Latest World News."
"Imran Khan admits Balakot strike took place, says India planning something even bigger in PoK - Times of India","MUZAFFARABAD (PoK): In an indirect admission that the Balakot was a major operation that rattled Pakistan, country's Prime Minister Imran Khan said on Wednesday that India was planning an even bigger operation in PoK in the aftermath of the abrogation of Article 370 by New Delhi. ""We have information and we have had two National Security Committee (NSC) meetings. The Pakistan Army has full knowledge that India has made a plan to take action in PoK. Just like how after Pulwama, they took the action in Balakot, according to the information we have, they have made more sinister plans now,"" Khan said while addressing the Legislative Assembly here on the occasion of 73rd Independence Day of Pakistan. In the early morning hours of February 26, the Indian warplanes had crossed over to Pakistan and attacked Jaish-e-Mohammed (JeM) terrorist training camp in Balakot in Khyber Pakhtunkhwa province to avenge the deadly Pulwama attack. While India had insisted that it killed a large number of JeM group terrorists and destroyed their camp, Pakistan had said that the bombs had landed in an empty area and caused no casualties. More than a month after this claim, Pakistan authorities had allowed a delegation of about a dozen people including foreign media and defence attaches to visit the site in an attempt to prove that nothing of the sort as claimed by India had happened there. In his address on Wednesday, Khan said that the ""hateful ideology"" of the BJP and the RSS would not remain limited to Kashmir, but eventually spill towards Pakistan, following which they would take such action. Khan threatened serious consequences if such an action takes place. ""Our Army is prepared,"" said Khan. ""Not just the army, but the entire nation would fight alongside our military... we will respond to whatever they do,"" said Khan. Oddly, most of Khan's 30-plus minute address on Pakistan's Independence Day was ""devoted"" to attacking the BJP and the RSS. At one point, he even went on to call himself the Ambassador of Kashmir, adding that he would raise the matter on every international forum, and take it to the United Nations as well as the International Court of Justice. ""We will go to the United National. We will go to every global forum, as well as the International Court of Justice. We are mobilising the global community of Kashmiris and you will see a historic number of people coming out,"" he said. Khan said that Pakistan needs to make the world realise that the ideology of the RSS is exactly like Nazis and that the India of today is no more tolerant, plural, or secular as it once was. ""We have to make the world realise that the ideology of the RSS is exactly like the Nazi ideology. After World War II, the world made a collective decision that such genocide would never be repeated. The RSS ideology is heading that way again,"" Khan said. ""This is the ideology that has done ethnic cleansing in the world, that has created wars. People have no idea how much India has radicalised. It is no longer a plural or secular society. The facade of a tolerant India has been removed,"" he added. He went on to say that the goons of the RSS are lynching people, threatening judges, intellectuals, and deeming anyone who speaks against them as anti-nationals, which is ""exactly what the Nazis did. India is heading towards disaster with extremist ideology"". India's historic move has rattled Pakistan, following which it has undertaken a series of decisions, including downgrading bilateral relations with India and suspending bilateral trade, halting Samjhauta and Thar Express trains from its side and banning Indian movies in Pakistani cinemas. Download The Times of India News App for Latest World News."
Punjab: Conman who cheated Pulwama martyr's family now in 3-day police remand | Ludhiana News - Times of India,"PATIALA: The conman who cheated the family of Pulwama attack CRPF martyr Kulwinder Singh in Rauli village of Ropar district has now been arrested by Ropar police after being brought on production warrant from the jail authorities in Uttar Pradesh. He was nabbed by the UP police and was sent to jail at the end of July. The police in Ropar had got three days remand to interrogate the accused who have been identified as Harender of Mathura. The police had groped in the dark for around three months after the conman cheated martyr’s family of Rs 1.5 lakh on the pretext of getting allocated a gas agency in their name as part of union government compensation plan for the martyrs. Station house officer Nurpur Bedi Police Station, Jatin Kapoor said, “We have arrested the accused after taking three days police remand from the authorities in UP. He has been brought on production warrant. The family will be called in order to carry out a free and fair investigation. We have CCTV footage of the bank in which his face is clear."" On May 2 this year, the accused had cheated martyr Kulwinder’s family and the Ropar police could not trace him despite having CCTV footage of the accused. Dressed as a CRPF man, the accused conman had reached the martyr’s family in Rauli village and presented himself as a senior colleague of the CRPF martyr Kulwinder Singh. He convinced Kulwinder’s septuagenarian parents to pay him money and get allocated a gas agency in their name. The Ropar police had then recovered a rented car on which the accused conman had reached to the family in Rauli village. The police said that a number of cases have been registered against the accused Harender for cheating the families of martyrs. Modus operandi: The police said that the accused used to get details of the families of martyrs’ and then reach them within a few days with a compensation offer and some fake documents. He then used to ask the families to submit their account details and transfer their money in another bank account and then escape from the spot after taking money. He had allegedly cheated many other martyr families in various states including Punjab, Gujarat, Uttar Pradesh, Chhattisgarh and Madhya Pradesh. Download The Times of India News App for Latest City News."
