News Title,Content
Ashok Gehlot's exclusive interview with TOI | Jaipur News - Times of India,"On January 25, Rajasthan became the third state in the country to pass a resolution in its assembly against the implementation of the contentious Citizenship Amendment Act and the proposed National Register of Citizens. It also became the first state in the country to officially declare its non-cooperation towards the impending National Population Register.Hours after the historic special session of the assembly, Rajasthan chief minister Ashok Gehlot spoke to Swati Mathur about why the CAA-NRC-NPR combine is dangerous, how focus must shift to the state of economy and creating jobs, and the reason he believes Rahul Gandhi can lead the Congress in raising issues that matter:Congress seems to be shifting focus from CAA-NRC-NPR to the issues of economy and unemployment. Why?Congress’s stand on CAA is the same that it was earlier. BJP said it will approach three crore people through door-to-door campaigns to explain the CAA. Why has the need arisen? Until today, no laws made by Parliament needed to be explained. It proves there is a major flaw in the law and now that people have seen through it, they are worried and are having to explain. The real issues — the ones that matter to the people — are related to economy. If the government does not take immediate remedial action, the downward spiral can trigger a massive crisis. Joblessness is on the rise. Youth is frustrated and is getting pushed to the brink. Industry is stressed and small and medium trades are shutting shop. Where will the jobs come from? For an economy to grow, there needs to be investment in public and private sectors, there should be purchasing power in the hands of the common people and exports should rise. This, not CAA, should be the government’s top priority. Instead, since BJP came to power in 2014, they have taken decisions to hurt the economy. Auto sector is closing showrooms, petrol, diesel prices are not reducing, prices are rising and farmers, labourers and youth are all frustrated. The GST regime even cost Rajasthan a revenue loss of over Rs 11,000 crore. After winning in 2019, the BJP has returned with inflated egos. It doesn’t care about public sentiment. The government abrogated Article 370 and settled the Ram Mandir issue. People welcomed that because it brought closure to a long-standing dispute. But they are continuing to rake up one thing after another to fulfil their Hindu Rashtra agenda. It is a dangerous game. I even wonder whether all of BJP stands with them (PM Modi and home minister Amit Shah) on this. Because they don’t involve people in making decisions. What is today’s Yuva Aakrosh Rally seeking to achieve?It is a campaign Rahul Gandhi is starting from Rajasthan, where we will tell the youth that we stand with them, shoulder to shoulder. In democracy, it is very important to hear the Opposition’s view. It gives confidence to people. The youth has little faith left in the government of the day. If they feel that the opposition is also not standing with them, they will feel even more frustrated. In public interest, and to tell the youth that we stand with them to pressurise the government into listening to the voice of the people, Rahul ji will lead this rally. We will force the government to listen and to concede. heeded the call of the Congress Working Committee — the highest decision making body of the party — and the sentiments of its members to lead us strongly on various issues. He is an assertive leader and does issue-based politics. He is not waylaid by the government’s efforts to sentimentalise issues. I am glad he chose Rajasthan to start this campaign from. Congress leaders have said states are bound by the Constitution to implement laws passed by Parliament. In this light, since Rajasthan is now the third state to pass a resolution against CAA and NRC, and the first to formally announce its non-cooperation towards NPR, how will you do this?If there is a democratically elected NDA government at the Centre, there are elected governments in states too. A majority of states are saying CAANRC should not be implemented because it is impractical. Take Assam for instance. People went into depression, some committed suicide, many spent hard earned money to bribe officials so their names would be included in NRC. Despite this, they are facing disenfranchisement. The entire exercise cost Rs 1,600 crore and now (Union Home Minister) Amit Shah says it will be implemented across the country. According to estimates, a nationwide NRC will cost Rs 64,000 crore. Can the country afford this? What will happen if it is conducted? Results will be the same as they were in Assam. Of the 19 lakh people left out in Assam, 16 lakh turned out to be Hindus. Yet, they (BJP) created such a ruckus. To prevent a recurrence of Assam, all states have given a call to the Centre not to implement the law. Public doesn’t want it and the majority of elected state government don’t want it. They (NDA government) should accept the public sentiment and withdraw the law. Such a decision will be welcomed by the people. CAA, NRC and NPR must not be seen in isolation but as a package. The entire exercise is not practical. If people decide not to show their papers, how many will the government act against? Assam was a small state and they could extract information through fear and force. But can this be done across India? The problem began after the government said it wanted to conduct a nationwide NRC. Now they are on the defensive and have swung into damage-control mode. The PM said that no Hindu or Muslim will face problems. He even said there is no discussion on NRC in the government, and accused the Opposition of inciting people. On the other hand, Shah said it will be done. Between the PM and the HM, who should the public believe? Both have spoken publicly. The PM should explain this. Ultimately, they should remove confusion, win people’s trust and then decide the course of action. If their decision is in public interest, everyone in the country will support them. Protests over CAA-NRC-NPR have taken a violent turn in several states. Rajasthan saw protests too but they were peaceful. What did you do to achieve that?That depends on the call you give to people. Our call to the public in Rajasthan was for a Peace March. We asked for two things; that the Indian Flag must not be allowed to be defaced and that there should be no violence. Lakhs of people participated and held placards as a mark of protest. If Yogi Adityanath had given the same call for a Peace March in UP, told people there should be no violence and had engaged with them and assured them it was their right to stage sit-ins and protest and that the police would facilitate their peaceful protests, there would be no problem. Instead, he used the language of “badla (revenge)” and told protestors they will be taught a lesson. He ended up inciting people further. In democracy, it depends on the chief ministers and the prime minister as to what call they give to their people. The administrative machinery and the police speaks the language that the CM speaks. The administration understands the intent of the political leadership and acts accordingly. That is what happened in UP. Opposition parties have come together to protest against CAA-NRCNPR. BSP, though, has kept away from Congress-led protests ostensibly because Mayawati is upset over her MLAs being poached in Rajasthan. Your comments. I have not poached MLAs. Their entire party merged with the Congress. The Constitution makes it legal for three-fourth or more of a party’s members to merge with another party. Under that law, they merged with Congress. What can I do? This has happened earlier too. She may have other reasons that she is not voicing. Priyanka Gandhi Vadra is active on the ground in UP. That may be upsetting Mayawati ji. There are talks of differences in the government — between you and deputy CM Sachin Pilot. Is this true?The media plays this up. I don’t pay attention to it. I don’t pay attention to these “differences”. We were together just yesterday. We meet and talk affectionately and we do our work. Differences exist when both sides create an issue or initiate a confrontation. I don’t create issues. So where is the fight? It takes two to fight. Download The Times of India News App for Latest City News."
Babri Masjid news: Uttar Pradesh government identifies land for mosque in Ayodhya | Lucknow News - Times of India,"LUCKNOW: Uttar Pradesh government has identified plots of land outside the periphery of the “panchkosi parikrama” to be offered to the Sunni Waqf Board as an alternative site for a mosque as mandated by the Supreme Court in its November 9 verdict in the   Ram Janmabhoomi-Babri Masjid case   . “Panchkosi parikrama” is the 15-km-long circular route taken by devotees within Ayodhya town to pay obeisance. Top government sources told TOI that as many as five potential sites close to highways passing by Ayodhya have been identified and sent to the Union home ministry for clearance. Plots have been identified on the Ayodhya-Faizabad Road, Ayodhya- Basti Road, Ayodhya-Sultanpur Road, Ayodhya-Gorakhour Road, along with one more spot. Supreme Court to take up Ayodhya review petitions: All you need to knowSources said that land has been identified beyond the “panchkosi parikrama” periphery so that devotees are not inconvenienced when Muslim and Hindu festivals are held simultaneously. Sources also said a mosque closer to highway will ensure easy access to Muslims. Most part of the temple town, with a major portion of its population, is situated within the “panchkosi parikrama” route. Sunni Waqf Board yet to decide on land issueOn November 9, the Supreme Court, while handing over the entire disputed land to the Hindu side for construction of Ram Temple, had asked for identification and allocation of five acres of land to the Muslims to build a mosque as a compensation for the Babri Masjid which had been demolished on December 2, 1992. Sunni Waqf board won't seek Ayodhya reviewWhile the Sunni Waqf Board is yet to decide on whether to accept the alternative land that the government has to provide, other Muslim parties including Jamiat Ulema I Hind and All India Muslim Personal Law Board, which represents individual Muslim litigants, have openly rejected the offer. On the directions of the Supreme Court, the Centre initiated the process for identification of five acres of land for the mosque and asked the state government to send proposals. The UP government, through the Faizabad district administration, is learnt to have shortlisted five places where five acres of land is available and sent the proposal to the Union Home ministry for finalising and shortlisting one. Read this story in Bengali.Download The Times of India News App for Latest City News."
"Create harmonious society by ending feeling of high, low in society: Suresh 'Bhaiyyaji' Joshi | Mangaluru News - Times of India","MANGALURU: Rashtriya Swayamsevak Sangh (RSS) general secretary Suresh ‘Bhaiyyaji’ Joshi on Saturday exhorted the central management committee and the board of trustees of Vishwa Hindu Parishad meeting in the city to create a harmonious society by ending the feeling of high and low with in the society. Talk of superiority in terms of birth in Hindu society today is not right because a person is superior based on karma, Joshi averred. Pointing that somewhere our values have eroded, Joshi said there is also indifference towards the motherland, which is due to mere change of attitude. “For us, cow protection is not only animal protection. Shri Ram Janmabhoomi is a matter of self-respect for us,” he said advocating need for a Hindu society that is empowered, honorable, cultured, awakened, gentlemanly, self-respecting and importantly full of scientific temper. On the second day of the meeting, VHP resolved to create a strong and self-supporting India. Expressing concern over increasing rape and crimes against women in India, a comprehensive action plan was prepared to stop these incidents. VHP demanded that necessary amendments in Article 29 and 30 of the Indian Constitution be carried out to expand eights given to minorities, so that the discrimination between minority and majority could be eliminated. In the second proposal on status of women in India, VHP stated that parents, academics, saints, social organizations, media, entertainment and advertisements world will have to take the lead along with wide-ranging campaign to stop increasing crimes against women and change their attitudes towards safety of women. VHP will accelerate the work of developing goodwill and family spirit in Hindu society through ‘Parivar Prabandan’ programmes. Durga Vahini, affiliate of VHP will intensify its training programs across India for self-defense of women, while the Bajrang Dal through its diverse programs will motivate the youth to adopt a healthy attitude towards women and to prevent crimes against them. In the meeting, special issue on Dharm Jagran by fortnightly national revivalist magazine Hindu Vishwa was also released, Vijay Shankar Tiwari, media in-charge of VHP, stated. Download The Times of India News App for Latest City News."
Yogi Adityanath: BJP trying to establish ‘Ram Rajya’ for poor | Lucknow News - Times of India,"LUCKNOW: Uttar Pradesh chief minister Yogi Adityanath on Tuesday said that the Opposition, essentially the Congress, did not want the 500 year-old Ram Mandir issue to be resolved, believing that would end their politics. Yogi made the statement while addressing rallies in Deoghar and Jamtara Assembly seats in poll bound Jharkhand. Yogi said ‘Ram Rajya’ is the true example of good governance. “It is a state where there is no discrimination. Connecting the poor with welfare schemes of the government and guaranteeing security is also Ram Rajya,” he said. Prime Minister Narendra Modi at the Centre, Raghubar Das in Jharkhand and all BJP ruling states are making sincere efforts in this direction. Enumerating the welfare schemes, the CM said that the poor are being provided free houses, toilets, electricity and gas connections. BJP’s attempt is to connect every citizen with the mainstream, he said. Speaking on Citizenship Amendment Act, Yogi said that Hindus, Buddhists and Bengalis had to flee to India from Pakistan, Afghanistan and Bangladesh. “After the passing of Citizenship Amendment Act, everyone will get the citizenship of India and they will also be able to take the benefits of the welfare schemes of the government,” the CM said.  India has paved the way for the welfare of humanity and the Citizenship Amendment Act is part of it, he said. Yogi said that PM Modi and home minister Amit Shah fulfilled the dreams of BR Ambedkar by abrogating article 370 in Kashmir. Download The Times of India News App for Latest City News."
 Vice President recalls Mahatma's 'view' to shut Congress platform | India News - Times of India,"ANAND: Vice President M Venkaiah Naidu on Saturday invoked Mahatma Gandhi's ""suggestion"" to disband the ""Congress as a platform"" after India attained independence from the British in 1947. Naidu also said everybody celebrated the Supreme Court's unanimous verdict on the Ayodhya dispute, clearing the decks for the construction of a Ram temple. The vice president was speaking as the chief guest to mark the 40th Foundation Day of the Institute of Rural Management, Anand (IRMA) on the National Dairy Development Board (NDDB) campus. ""Mahatma Gandhi gave two suggestions after Independence. First, he asked for the closure of the Congress as a platform. I am telling you for your information that the Congress was primarily a movement of people of different ideologies,"" he said. The vice president recalled that people had gathered under the leadership of Mahatma Gandhi, Gopal Krishna Gokhale, Bal Gangadhar Tilak with the goal to achieve independence. ""They came together and fought for independence. When independence was achieved, that work (struggle) was finished and there was no need for any discussion,"" Naidu said. He said Mahatma Gandhi's ""second suggestion"" to go back to villages is unfortunately forgotten. ""We have (instead) shown our backs to villages,"" he added. The vice president said the Ayodhya verdict was celebrated by people. ""People are happy over a meaningful solution (to the Ayodhya dispute)...because we have put an end to these things behind and moved on. The solution has been welcomed by one and all,"" he said. Delivering a historic verdict on November 9, the top court backed the construction of a Ram temple by a government trust at the disputed site in Ayodhya and ruled that an alternative five-acre plot must be found for a mosque in the Hindu holy town. Naidu also recalled the contribution made by Verghese Kurien, who is known as the Father of White Revolution. Kurien had also played a crucial role in finding IRMA and NDDB. ""I salute his memory, foresight, and the initiatives he had taken. And the result is for us to see. The regions where this Amul movement reached are developed and other areas are comparatively less developed. It's not only a beautiful but also a dutiful place. When you combine beauty with duty, it becomes multi (sic). ""It was here that white revolution was conceptualised and implemented. Thanks to the nurturing efforts of Dr Kurien and his team, including dairy farmers, India is today the world's largest producer of milk,"" Naidu said. The vice president also visited the native house of Sardar Vallabhbhai Patel- the first Home minister of India- who was born in the nearby village of Karamsad. Naidu also recalled former prime minister Atal Bihari Vajpayee's initiative to build rural roads, and said the next phase of the movement to provide clean drinking water and toilets was undertaken by Prime Minister Narendra Modi. ""The government has now decided to construct the third phase of rural roads under which roads (with the length of) 1.2 lakh kms will be constructed and developed. By 2024, every village and villagers will get drinking water,"" he said, adding that more than 8 crore LPG gas connections weremade available under the Ujjawala Yojana. The vice president also highlighted the need for water conservation. ""Water crisis is possible in the coming days. In fact it can be seen even now, but we are not paying much attention to it. Joining rivers, cleaning them, conserving lakes, and reducing, reusing and recycling water is a vital mantra,"" he said. The vice president appealed to people to participate in projects undertaken by the government. ""The country has this mentality that every work will be done by govenrment and we can sit idle. This will not do. Whether it is Clean India Clean Water programme, or 'Beti Padhao, Beti Bacho', 'Fitness India', or Yoga...all these programmes should become people's programmes, with people's participation, and this is vital for their success,"" he said. Naidu hailed the brand Amul as the successful example of people's participation. ""This is a great revolutionary story of India, Gujarat, Anand, and Amul,"" he said. Amul is a cooperative dairy company based at Anand. Formed in 1956, it is a cooperative brand managed by the Gujarat Co-operative Milk Marketing Federation Ltd., which today is jointly owned by 3.6 million milk producers in Gujarat. ""Proper training and mentoring is a pre-requisite to turn village farmers into successful entrepreneurs,"" the vice president said while highlighting the importance of institutes like IRMA. ""White Revolution was achieved not by mass production, but production by masses. This helped small and marginal farmers to reap the benefits of the economy of scale,"" he said. ""For the dream of decentralised village industry to materialise, we will need sufficient number of well-trained professionals to manage such industry and institutes,"" he said, adding that the rural economy will be vital for India to become a $5 trillion economy. He also recalled Prime Minister Narendra Modi's promise of doubling the income of farmers. ""Our prime minister has given a call to double farmers' income by 2022. If this has to be achieved, we need to adopt a multi-pronged approach. There has to be a renewed approach to agro industries, cold storage, warehousing, food processing, dairies, fisheries, value addition etc,"" he said. The vice president further said technology will open up new business ventures for farmers in rural India by way of digital payment and e-commerce. Commenting on onion price, he said, ""Sometimes low price, tears in the eyes, sometimes high prices, again tears in the eyes,"" he said. Naidu also visited Parikrama exhibition on the NDDB campus showcasing the genesis of NDDB and Operation Flood or White Revolution. Download The Times of India News App for Latest India News."
 40 academics &amp; activists move SC for review of Ayodhya verdict | India News - Times of India,"NEW DELHI: Forty academicians and activists, including Irfan Habib, Jayati Ghosh, Nandini Sundar and Prabhat Patnaik, have filed a joint petition in the Supreme Court seeking review of its November 9 Ayodhya verdict which gave the Janambhoomi-Babri site for construction of Ram temple and ordered that five acres be allotted to Sunni Waqf Board elsewhere in Ayodhya for construction of a mosque. Justifying their decision to approach court in the matter despite having never been a party in the decades-old legal dispute, they contended that they are aggrieved by the apex court verdict “which has a direct impact on the syncretic culture of the country and its secular fabric envisaged in the Constitution”. The petitioners, known for their consistent Left-leaning stance on diverse issues, agreed that there is no doubt about Ayodhya being the birthplace of Lord Rama, but said there is no conclusive evidence of existence of a temple at the site where Babri mosque was built. “The faith of a community cannot override the faith of another community and practices of two faiths cannot and should not be compared as the expressions of faith can also differ. Interestingly, the belief of the Hindus that Ram was born in Ayodhya is not without doubt (as has been expressed by eminent historians such as Romila Thapar and Irfan Habib). “The existence of Babri Masjid is a fact that has been historically documented, whereas the existence of the Hindu temple on which this mosque was built is merely a belief of the Hindus ... Therefore, by relying on the belief of the existence of a temple, over the evidence of existence of the mosque, this decision has been in violation of constitutional principles of equality and freedom of religion,” the petition said. Download The Times of India News App for Latest India News."
 Ayodhya remains calm on Babri anniversary; tight security measures in place | India News - Times of India,"AYODHYA (UP): The 27th anniversary of the Babri Masjid demolition on Friday remained a low-key affair with both Hindu and Muslim religious leaders downplaying the occasion amid tight security measures, less than a month after the Supreme Court's verdict in the land dispute case. In the early hours of the day, life went on as normal in different parts of the city with schoolchildren and morning walkers taking to streets and businesses opening at their usual time. While right-wing Hindu organisations in the past 'celebrated' the day when a mob had pulled down the mosque on the disputed site in 1992, this year the Vishwa Hindu Parishad (VHP) has decided against observing 'Shaurya Diwas'.  Muslims offer 'namaaz' prayers at Terhi Bazaar Masjid, near Ramjanmabhoomi in Ayodhya on Friday. (PTI photo)Senior priest of Hanumangarhi temple Raju Das told PTI that the day should now be marked as the 'day of amity'. ""The temple is witnessing a regular flow of devotees. It is a normal day for us and the city. We are observing this day as 'sauhaard diwas' (day of amity). In the evening, earthen lamps will be lit in Hanumangarhi,"" he said. The All India Muslim Personal Law Board (AIMPLB) has said that while the anniversary of the historic mosque's demolition by a mob was a day of mourning for Muslims, it was ""up to individuals"" if they wanted to observe the 'yaum-e-gham' or the 'day of sorrow'. At the Jama Masjid Malik Shah here, children were seen reading the Quran under the guidance of Haji Ismail Ansari, even as a poster with a picture of Babri Masjid hung on a wall. Mohammed Shahzad Raeen, a poultry dealer, said there was no problem among Hindu and Muslim residents of Ayodhya who have been peacefully living for generations. Around 150 Muslims attended Friday prayers at the Terhi Bazaar mosque in the vicinity of the Ramjanmabhoomi police station in the afternoon. In the speech before the prayers, Maulana Shafique Alam said, ""December 6 is a day of mourning for us."" He welcomed the decision of the All India Muslim Personal Law Board to go for a review petition against the Supreme Court's November 9 verdict. The Maulana asked the people to demand their rights and remember 'Khuda' (God). The Terhi Bazaar mosque is almost 200-year-old, Shafique Alam said, adding that 40-50 Muslim families lived in its vicinity. People from different age groups turned up at the mosque to offer prayers amidst tight security. At a primary school in Ranopalli area, classes were held in a regular manner. ""In all there are 74 students in the school. Yesterday, 52 students had turned up. Today, around 30 are present,"" Lal Bahadur Yadav, a teacher, said. When asked if the dip in attendance was due to the anniversary of the Babri demolition, he said, ""Possibly yes, as anxiety is present in some parents over December 6."" In the Rikabganj area, devotional songs were playing at various temples that were visited by devotees as usual. Milk shops, eateries and other businesses in the city were operational. ""It is a normal day for us,"" said 60-year-old Brajesh Kumar, a resident. Police personnel kept an eye on activities to prevent any law and order situation. The security arrangements in the city are similar to that put in place ahead of the Supreme Court's November 9 verdict in the Ramjanmabhoomi-Babri Masjid land dispute case, a senior police officer said. The officer said that religious organisations had assured the administration that the anniversary would be a low-key affair. ""The security plan for December 6 will be a continuation of the plan we had devised for November 9,"" Additional Director General of Police (Law and Order) PV Ramasastry said. District Magistrate Anuj Kumar Jha and Senior Superintendent of Police Ashish Tiwari toured various parts of the city. Anuj Kumar Jha said, ""All parties who had organised programmes on the occasion felt the importance of sending a message of amity. Most of them cancelled their programmes."" He said adequate security personnel were deployed following intelligence inputs that some people might violate Section 144 of the CrPC by holding a congregation. ""Proper monitoring and checking is being done. So far, there is no report of any untoward incident,"" Jha said, adding that there was no restriction on devotees visiting temples in the city. SSP Ashish Tiwari said, ""We have been touring the entire city. Deployment has been done in such a manner that the security apparatus is robust without any problem to the common man. The force is already undertaking foot march and drones are being used to keep an eye on various developments."" He adequate security personnel were deployed to ensure peaceful Friday prayers. Ayodhya SSP Ashish Tiwari said the entire district had been divided into four zones, 10 sectors and 14 sub-sectors from a security perspective. ""As many as 78 sand bag posts have been established with armed policemen posted there. Barriers have been put in place to control traffic. As many as 269 police pickets have been set up in sensitive areas,"" Tiwari said. The SSP said that 305 'troublemakers' had been identified and action was being initiated against them. Apart from this, nine quick response teams have been deployed. ""To combat any emergency situation, five arresting parties have been formed in addition to 10 temporary jails,"" he said, adding that anti-sabotage teams were checking hotels, dharamshalas and other public places. Download The Times of India News App for Latest India News."
Congress placed hurdles in way of Ram temple: Yogi Adityanath | Lucknow News - Times of India,"LUCKNOW: A day ahead of the 27th anniversary of the Babri Masjid demolition, chief minister Yogi Adityanath on Thursday slammed the Congress for putting road blocks in the path of the construction of Ram temple in Ayodhya and for speaking in a language that suited Pakistan. Addressing a rally in Itchagarh assembly seat in poll-bound Jharkhand, Yogi said that if the Congress had not created barriers, the long-standing issue of Ramjanmabhoomi would have been solved years ago. “Jo Ram ka nahi, wo kisi kaam ka nahi (One who is not loyal to Lord Ram is of no use),” Yogi said, amid loud chants of Jai Shri Ram from BJP supporters. Yogi reiterated that it was the strength of democracy and judiciary which ensured that no untoward incident happened after the Supreme Court’s verdict favouring construction of a Ram temple in Ayodhya. Yogi also accused the Congress and other opposition parties of ordering firing on kar sevaks who had turned up in large numbers for Ayodhya from Bihar and Jharkhand. Yogi said the Ram temple movement was close to the heart of the people from the SC/ST community who had come to Ayodhya for kar seva in the early 1990s. “The current generation has not witnessed or participated in any Ram temple movement. The previous generations have borne lot of pains for the issue,” he said. The CM said that the BJP had promised a Ram temple before the 2019 Lok Sabha elections. “Now, we are on the verge of delivering it,” Yogi said. Download The Times of India News App for Latest City News."
 Tight security ahead of Babri Masjid demolition anniversary | India News - Times of India,"AYODHYA: Barely a month after the   Supreme Court verdict   on Ayodhya dispute, police are on high alert for the 27th anniversary of the Babri Masjid demolition, which falls on December 6. Security is tight in the temple town with a senior Uttar Pradesh Police official saying the arrangements are similar to the   plan they had devised for November 9   , the day the apex court pronounced verdict on the Ramjanmabhoomi-Babri Masjid land dispute. ""The security plan for December 6 will be a continuation of the plan we had devised for November 9,"" Additional Director General of Police (Law and Order) PV Ramasastry told PTI, adding that the precautions taken by them were the same they had adopted on the judgment day. Ayodhya SSP Ashish Tiwari said the entire district had been divided into four zones, 10 sectors and 14 sub-sectors. Security tightened in Ayodhya ahead of Babri Masjid demolition anniversary tomorrow. https://t.co/XejRSI3jVS— ANI UP (@ANINewsUP) 1575542410000""The zone is headed by an additional superintendent of police, while the sector is looked after by a deputy superintendent of police. The sub-sectors are taken care of by SHO-level police officials,"" he said, adding that intensive checking was being carried out. ""As many as 78 sand bag posts have been established with armed policemen posted there. Barriers have been put in place to control traffic. As many as 269 police pickets have been in sensitive areas,"" Tiwari said. The SSP added that 305 troublemakers had been identified and action was being initiated against them. Apart from this, nine quick response teams have been deployed. ""To combat any emergency situation, five arresting parties have been formed in addition to 10 temporary jails,"" he said, adding that anti-sabotage teams were checking hotels, dharamshalas and other public places. He said people had been appealed to immediately inform police about any suspicious activity or people. The public had also been asked not to fall prey to any rumour mongering and maintain harmony, he said. ""Stress has been laid on confidence-building measures,"" the SSP said, adding that they had contacted saints, traders and academics in this regards. Download The Times of India News App for Latest India News."
 Religious leaders downplay Babri demolition anniversary | India News - Times of India,"AYODHYA: Both Muslim and Hindi religious leaders are talking about downplaying the anniversary of the demolition of the Babri mosque, now that the Supreme Court has pronounced its verdict on the Ayodhya dispute. While the police are taking no chances – an official said the security arrangement in the temple town are similar to those ahead of the SC judgment day – religious organisations have assured that the December 6 anniversary will be low key. While right-wing Hindu organisations earlier ""celebrated"" the day when a mob pulled down the structure on the disputed site, some Muslim groups mourned it. This time, although the AIMPLB said ""a day of sorrow"" would be observed, it added that ""it is up to the individuals"". The Vishwa Hindu Parishad has too decided against observing the 27th anniversary of the demolition as ""Shaurya Diwas"". ""Yaum-e-gham (day of sorrow) will be observed, wherever it was observed last year. And, it is up to individuals to observe it or not,"" senior AIMPLB office-bearer Zafaryab Jilani said. VHP spokesman Sharad Sharma said, ""There will be no public function. People may light earthen lamps in various temples. Seers are also of the view that truth has triumphed so there is no relevance of the celebrations."" On November 30, Ram Janmabhoomi Nyas chief Mahant Nritya Gopal Das too had appealed against observing ""Shaurya Diwas"", saying there was no relevance left for it after the apex court verdict. Maulana Shafique Alam of Terhi Bazaar Masjid, which is in close proximity to the Ramjanmabhoomi, on Thursday said Friday prayers would be held in the mosque at 1 pm. ""Around 150-200 Muslims are likely to attend it,"" he said. Recalling developments on November 8, a day before the apex court gave its verdict, Shafique Alam said, ""There are around 40-50 Muslim families in this area, of which 30 had sent their womenfolk to other places. Some financially well-off people too shifted ahead of the Supreme Court judgment."" ""Most of them returned after November 14. There were no clashes, but people were feeling sad over the judgment. I too had gone to my native place in Bihar's Gaya and returned on November 19,"" he said, adding that police were very helpful. He, however, blamed ""outsiders"" for vitiating the atmosphere of Ayodhya, saying his Hindu neighbours were very nice. ""Even during marriage or any other celebrations in their households, they switch off the music system during namaaz,"" he said. Meanwhile, security is tight in the temple town with a senior Uttar Pradesh Police official saying the arrangements are similar to the plan they had devised for November 9, the day the apex court pronounced verdict on the Ramjanmabhoomi-Babri Masjid land dispute. ""The security plan for December 6 will be a continuation of the plan we had devised for November 9,"" Additional Director General of Police (Law and Order) PV Ramasastry told PTI, adding that the precautions taken by them were the same they had adopted on the judgment day. Ayodhya SSP Ashish Tiwari said the entire district had been divided into four zones, 10 sectors and 14 sub-sectors. ""As many as 78 sand bag posts have been established with armed policemen posted there. Barriers have been put in place to control traffic. As many as 269 police pickets have been set up in sensitive areas,"" Tiwari said. The SSP added that 305 troublemakers had been identified and action was being initiated against them. Apart from this, nine quick response teams have been deployed. ""To combat any emergency situation, five arresting parties have been formed in addition to 10 temporary jails,"" he said, adding that anti-sabotage teams were checking hotels, dharamshalas and other public places. He said people had been appealed to immediately inform police about any suspicious activity or people. The public had also been asked not to fall prey to any rumour mongering and maintain harmony, he said. ""Stress has been laid on confidence-building measures,"" the SSP said, adding that they had contacted saints, traders and academics in this regards. Download The Times of India News App for Latest India News."
