News Title,Content
UP: Man booked for giving triple talaq to wife over phone | Agra News - Times of India,"BANDA: A 23-year-old woman in Uttar Pradesh's Fatehpur district has alleged that her husband gave her 'triple talaq' over phone and she was molested by her brother-in-law, police said on Wednesday. Besides her husband and his brother, the woman, who got married last year, has named six other people in her complaint, Station House Officer (SHO), Kotwali, Ravindra Srivasatava, said. The officer said a case has been registered and raids are being carried out to apprehend the accused. In her complaint, the woman said she was sexually abused and held ""captive"" by her husband after her parents failed to meet his dowry demands, he said. She has also alleged that she was molested by her brother-in-law, Srivastava said, adding that when the woman objected to the dowry demands, she was asked to return to her parent's house in June last year. On January 17, 2020, she was given 'triple talaq' (divorce) over phone, the SHO said. Police are investigating the matter The government had last year passed the Muslim Women (Protection of Rights on Marriage) Ordinance that makes triple talaq an offence and can invite a jail term of three years. The Supreme Court had on August 22 last year struck down triple talaq, calling the practice unconstitutional and in violation of Article 14 of the Constitution, which provides for equality before the law.  (The victim's identity has not been revealed to protect her privacy as per Supreme Court directives on cases related to sexual assault)Download The Times of India News App for Latest City News."
"Udaipur: Triple talaq case against man, kin | Udaipur News - Times of India","UDAIPUR: A 20-year old woman has lodged a police complaint against her husband and in-laws for mental and physical harassment as well as forcing her to leave their home by uttering triple talaq. Asma Siddiqui, wife of Ahmed Raza, resident of Dholi Bawri in Udaipur city gave the complaint to IG Binita Thakur which has been lodged at the Dhanmandi police station on Monday. Asma told the police that she lived with her husband and his family in Salumber town and was ill treated by them. She said she hailed from a poor family and her parents could not afford the dowry demands of her inlaws. They wanted to get rid of her so that Ahmed could remarry. Asma said that her sister-in law and her friends connived a plan to tarnish her image. Download The Times of India News App for Latest City News."
"Lucknow: Man gives triple talaq to wife, booked | Lucknow News - Times of India","LUCKNOW: A man allegedly gave triple talaq to his wife of 11 years over a monetary dispute. The woman had allegedly questioned her husband over withdrawal of Rs 1.90 lakh from their joint bank account. This irked the man and he gave triple talaq to his wife. An FIR under sections of The Muslim Women (Protection of Rights on Marriage) Act 2019, cruelty by husband, assault, insult and criminal intimidation has been lodged at Indiranagar police station. According to the FIR, the woman, a resident of Khurramnagar in Indiranagar, got married to Saif Ulla Khan in 2008. After marriage, the woman learnt that her husband was unemployed and whenever she coaxed him to work, Khan would assault her. A few years ago, the woman's mother gave the couple a house to live in Khurramnagar. In 2014, the woman's brother, who works in Germany, transferred Rs 10 lakh into the couple's joint bank account. In October 2018, the woman gave birth to twin girls and since then her husband started behaving rudely, she claimed. In July 2019, the woman came to know about a withdrawal of Rs 1.90 lakhs from their bank account and the dispute led to the husband allegedly pronouncing divorce to her. He also left the house and has not returned following which the complaint was lodged. Download The Times of India News App for Latest City News."
"UP: Man gives triple talaq at mediation centre, booked | Lucknow News - Times of India","LUCKNOW: A mediation attempt by a couple turned futile as the man announced triple talaq to his wife at the mediation centre itself. While the incident occurred in August, the woman filed an FIR against the man on Wednesday. The couple had come to the office of UP State Commission for Women (UPSCW) in August 2019 for mediation. The woman, 26, had lodged an FIR in January 2017 against her husband and his family for 'cruelty'. She had alleged that his family had demanded a four-wheeler and gold jewellery as dowry from her and when she could not arrange for it, they had even assaulted her.  She had separated from him and filed an FIR of assault in Madiaon police station against her the property dealer husband and his eight family members. She had then filed for divorce and mediation attempts were initiated. During one such mediation, in August 2019, at the UPSCW office, the man had presented a forged document showing that the couple had agreed to divorce. When the woman objected, her husband reportedly got enraged and left the office. After an hour, he returned and gave her triple talaq. ""We were alone when my husband declared triple talaq,"" the woman told TOI. She said she had complained to UPSCW in September to lodge an FIR, but they did not do so. As a result, she filed the FIR on Wednesday under the Muslim Women (Protection of Rights on Marriage) Act, 2019. The couple had got married in 2010. They have three children-two daughters aged eight and four years and a son aged seven years. Since their separation in January 2017, the two older kids have been living with the man while the youngest daughter lives with her.  Vibhuti Khand SHO Rajeev Dwivedi said, ""We have lodged an FIR and will arrest the accused. We will also verify the complaint of the woman."" Download The Times of India News App for Latest City News."
Navi Mumbai: Man booked for giving triple talaq over Rs 10 lakh dowry | Navi Mumbai News - Times of India,"NAVI MUMBAI: A 28-year-old woman has lodged a police complaint alleging that her husband had given her a talaq notice and later instant divorce by uttering ‘talaq’ thrice at his Vashi residence last month. She also alleged that her husband and three in laws harassed her for Rs 10 lakh dowry. It is the fourth case under the Muslim Women (Protection of Rights on Marriage) Act, 2019, in Mumbai metropolitan region, and the second in Navi Mumbai. “The woman had initially lodged a complaint with Ambernath police on December 14, as she had moved back with her parents. On December 31, the case was transferred to Vashi police station as she alleged that her husband, aged 30, had given her triple talaq at his Vashi home,” said senior inspector Sanjeev Dhumal of Vashi police station. “After recording her statement, we will summon the four accused to ascertain whether her husband had uttered ‘talaq’ thrice.” In her statement to Ambernath police, the woman said soon after their marriage in June 2014, her husband, his mother, brother and sister started abusing and assaulting her, and demanded dowry. Dhumal said, “She alleged that her husband demanded that she get Rs 10 lakh from her parents or leave his house with her child. She said last month her husband gave her a divorce notice and uttered ‘talaq’ thrice. Even after counselling, her husband and in-laws were reluctant to take her back, so she approached the police.” The husband, his mother, brother and sister have been booked under Section 4 of the Muslim Women (Protection of Rights on Marriage) Act, 2019, along with IPC sections 498A (husband or relative of husband of a woman subjecting her to cruelty), 406 (criminal breach of trust), 323 (voluntarily causing hurt), 504 (intentional insult with intent to provoke breach of the peace) and 506 (criminal intimidation). Three such cases were registered in 2019. On August 1, Thane police had booked a Mumbra resident who had given triple talaq to his wife via WhatsApp on November 30, 2018. In the second case, Nagpada police booked a 39-yearold man for giving instant talaq to his dietician wife in November 2018. In the third case registered at Kharghar police station in November 2019, a 20-year-old TYBCom student claimed that her 28-year-old husband had divorced her by uttering ‘talaq’ thrice at his Kurla home in May. Download The Times of India News App for Latest City News."
" Triple talaq law, increasing number of SC judges high points of law ministry in 2019 | India News - Times of India","NEW DELHI: The ban on the practice of instant triple talaq, making it a penal offence and the increase in the strength of Supreme Court judges were two of the major achievements of the law ministry in 2019. In July, Parliament gave its nod to The Muslim Women (Protection of Rights on Marriage) Bill, 2019. The new law makes talaq-e-biddat or any other similar form of talaq having the effect of instantaneous and irrevocable divorce pronounced by a Muslim husband void and illegal. It makes it illegal to pronounce talaq three times in spoken, written or through SMS or WhatsApp or any other electronic chat in one sitting. According to the new law, any Muslim who pronounces the illegal form of talaq upon his wife shall be punished with imprisonment for a term which may extend to three years, and shall also be liable to fine. During the year, four new judges were appointed to the Supreme Court in September, taking its strength to 34, the highest-ever. However, vacancies in high courts and lower courts are on the rise and convincing state governments and the 25 high courts to come on board to create an all-India judicial service to recruit judges for the subordinate courts tops the agenda of the Law Ministry in 2020. Besides creating a consensus on setting up the All-India Judicial Services, the ministry will also have to focus on filling up vacancies in the high court. On an average, the vacancies stood at 400 throughout this year. With more than 5,000 positions of judicial officers in district and subordinate courts lying vacant, the Law Ministry has pitched for setting up all-India judicial services. The sanctioned strength of the judicial officers in district and subordinate courts was 22,644. The number of judicial officers in position and vacant posts is 17,509 and 5,135, respectively. The government has proposed that while states and high courts can recruit judicial officers, the Union Public Service Commission (UPSC) can hold pan-India entrance tests. The ministry has made it clear that such services would not encroach on the powers of the states. As of now, the selection and appointment of judges in subordinate courts is the responsibility of the high courts and state governments concerned. The Narendra Modi government has given a fresh push to the long-pending proposal to set up the new service to have a separate cadre for lower judiciary in the country. But there is a divergence of opinion among state governments and respective high courts on constitution of the All India Judicial Service (AIJS). One of the problems cited is that since several states have used powers under Code of Criminal Procedure (CrPC) and Code of Civil Procedure (CPC) to declare that the local language would be used in lower courts even for writing orders, a person say selected from Tamil Nadu may find it difficult to hold proceedings in states like Uttar Pradesh and Bihar. The other point of opposition is that an all India service may hamper the career progression of state judicial services officers. Another key issue the ministry has to handle in 2020 is vacancies in the 25 high courts. Throughout 2019, on an average, the high courts faced a shortage of 400 judges. According to Law Ministry data, as on September 1, the high courts had 414 vacant positions as compared to the sanctioned strength of 1,079 judges. The figure was 409 in August and 403 in July, as per the data. A three-member Supreme Court collegium recommends names of candidates for appointment as high court judges. In case of appointments to the Supreme Court, the collegium consists of five top judges of the top court. High court collegiums shortlist candidates for their respective high courts and send the names to the law ministry. The ministry, along with background check reports by the Intelligence Bureau, forwards it to the Supreme Court collegium for a final call. The government has maintained that appointment of judges in the high courts is a ""continuous collaborative process"" between the Executive and the Judiciary, as it requires consultation and approval from various Constitutional authorities. Vacancies keep arising on account of retirement, resignation or elevation of judges and increase in judges' strength. In June last year, the vacancy position stood at 399, while it was 396 in May. In April, 399 posts of judges were vacant, while the figure was 394 in March. The vacancy position in February stood at 400 and in January, it was 392, according to the data collated by the Department of Justice. Over 43 lakh cases are pending in the 25 high courts. Another priority would be the finalisation of memorandum of procedure to guide appointment and transfer of Supreme Court and high court judges. The issue had now been pending for over two years now with the SC collegium and the government failing to reach a consensus. Successive governments have also been working on making India a hub of international arbitration. It has taken several steps to change laws dealing with commercial disputes. Download The Times of India News App for Latest India News."
Man booked for divorcing wife by pronouncing triple talaq in Delhi | Delhi News - Times of India,"NEW DELHI: A man has been booked for allegedly divorcing his wife by pronouncing triple talaq in south Delhi's Defence Colony area, police said on Tuesday. Police registered a case on Saturday based on a complaint lodged by the woman.  In her complaint, the woman said she got married to Shujauddin on November 20, 2017. She used to live with her husband and in-laws at Sahibabad. Soon after marriage, her husband started ill-treating her and physical assaulting her, the FIR stated. On September 5, her husband visited her parents at Sadiq Nagar and picked up a fight with her and assaulted her before giving triple talaq, she alleged.  Police said they have registered a case and investigating is underway.  The practice of triple talaq has been made illegal in India. Download The Times of India News App for Latest City News."
Modi Government in 2019: Key decisions taken by the Narendra Modi government in 2019 | India News - Times of India,"NEW DELHI: In 2019, the BJP-led NDA government came to power with a resounding victory. In the runup to the Lok Sabha elections and following its decisive mandate, the Narendra Modi government has taken several deicsion which hogged the national news headlines this year. Here is a look at some of these decisions taken by the government — 1. Balakot airstrikesOn February 26, a vehicle-borne suicide bomber carried out a ghastly attack on a CRPF convoy on its way from Jammu to Srinagar leading to the death of 40 paramilitary personnel. The attack, the deadliest on Indian security forces since 1989, was carried out by Pakistan-based militant group Jaish-e-Mohammed. A week later, on February 26, India retaliated by launching pre-dawn airstrikes destroying terror camps in Balakot, Pakistan, killing a large number of terrorists. Within hours, the Pakistan Air Force responded and in the ensuing dogfight, IAF lost a MiG-21 fighter leading to the capture of Wing Commander Abhinandan Varthaman by the Pakistan forces. After 60 hours in captivity, Varthaman was released by Pakistan. The tensions between the two countries prevailed for several months. 2. Reservation for economically weaker sectionsAhead of 17th Lok Sabha elections in 2019, the BJP government led by Prime Minister Narendra Modi brought the 124th Constitution Amendment Bill, 2019, which provided 10 per cent reservation to people from economically weaker sections (EWS) in government jobs and educational institutes. The amendment allowed those in the general category with an annual income of up to Rs 8 lakh to seek a reservation in government jobs and education. 3. Instant Triple Talaq becomes a criminal offenceThe Muslim Women (Protection of Rights on Marriage) Act, 2019 was given the presidential assent in July 2019 amidst objections from the Muslim community. In December 2017, the Supreme Court had declared instant triple talaq unconstitutional. Drawing upon Supreme Court's verdict, the Muslim Women (Protection of Rights on Marriage) Bill was tabled in the parliament in 2017 but it failed to pass in both the houses. However, in July 2019, the Bill was passed in both the houses and the Muslim Women (Protection of Rights on Marriage) Act, 2019, made instant triple talaq by Muslim men a criminal offence punishable by a jail term of up to three years. 4. Jammu & Kashmir loses special statusThe Prime Minister Narendra Modi-led BJP government in August announced the scrapping of Article 370 which gave special status to the state. In addition to scrapping to Article 370, the government also announced to split the state into two union territories— one was J&K with a legislature and second was Ladakh without a legislature. Abrogation of Article 370 was heavily condemned by various stakeholders in the country as well as witnessed scepticism from the international community. The abrogation was followed by a massive clampdown in the Valley, which included a heavy deployment of security forces, arrest of political leaders, including former chief ministers Farooq Abdullah, Omar Abdullah and Mehbooba Mufti, and snapping of internet connections and phones lines. 5. CAA/NRCAfter a heated debate in Parliament, the Citizenship Amendment Bill was passed leading to country-wide protests. The controversial Act grants citizenship status to religious minorities, barring the Muslims, persecuted in Afghanistan, Pakistan and Bangladesh. The passage of the Bill led to widespread protest across the country. In several places, the protests turned violent leading to loss of life and property. Opposition parties accused the government of trying to divide the country on communal lines with the introduction of the Act. The government refuted the allegations, claiming that the Act grants refuge to persecuted minorities in neighbouring countries. Download The Times of India News App for Latest India News."
Ahmedabad: Husband gives triple talaq using app | Ahmedabad News - Times of India,"AHMEDABAD: A 30-year-old woman has alleged in an FIR lodged with Dariapur police that her husband, who is at present residing in Saudi Arabia, gave her triple talaq on a mobile application on December 22. Inspector of Dariapur police station, K D Khambla, said that as the accused is in Saudi Arabia and they will take action when he returns to India. “We have registered a case under The Muslim Women (Protection Of Rights On Marriage) Act against the accused,” added Khambla. According to the FIR lodged by the woman, who is a resident of Dariapur, she was first married to Shoeb Mansuri of Himmatnagar. However, as things did not go well they got divorced. The FIR mentions that she had a daughter out of her marriage with Shoeb.“In 2016 she got married again to one Tanveer Malek of Borsad and gave birth to a son after one year. The FIR states that after some time, Tanveer told her that he wants to go abroad and needs some money. He took Rs 2 lakh and 220 grams of gold which belonged to the woman’s daughter, said a police official. The complainant alleged that after that her in-laws started torturing her for petty things. Fed up with frequent quarrels, the woman went to her parental house. Meanwhile, her husband Tanveer went to Saudi Arabia. The woman claimed that she filed a case under the domestic violence act in 2018 against her in laws and husband. The woman said in the FIR that her husband used to talk with his son on an internet-based application. According to FIR on December 22 at about 11.30pm, Tanveer made a video call and while talking to her, Tanveer said that if she withdraws the complaint they can live together again. Police officials said, the woman then asked for Rs 2 lakh and 220 gram of gold which she had given to him . On this, Tanveer got agitated and uttered, talaq three times, she claimed. Download The Times of India News App for Latest City News."
"Man, parents booked in triple talaq, harassment case | Aurangabad News - Times of India","AURANGABAD: A man and his parents have been booked by Jinsi police in a triple talaq and dowry harassment case. A woman, in her complaint lodged with police, alleged that her husband and in-laws — residents of Ambelohal in Gangapur taluka — had demanded Rs 5 lakh as dowry from her parents to invest in a business. The trio has been harassing the woman since the year 2005 and tired of this constant harassment, she lodged a harassment complaint against them. Following this, the man gave her triple talaq. A police officer said the trio has been booked under sections 498A (subjecting her to cruelty), 323 (voluntarily causing hurt) and 504 (intentional insult with intent to provoke breach of the peace) 506 (criminal intimidation), and 34 (common intention) of the Indian Penal Code (IPC) as well as under section 4 of the Muslim Women (Protection of Rights on Divorce) Act. Meanwhile, Begumpura police has also registered a case against seven people, including four women, for allegedly harassing a woman for dowry. The complainant has alleged that she has been subjected to constant harassment since her marriage in 2011. The in-laws were demanding Rs 5 lakh as dowry for buying an apartment. Failing to get the money from her parents, the woman used to be ill-treated and beaten. Fed up with the harassment, she approached police and lodged a complaint. The suspects have been booked under sections 498A (subjecting her to cruelty), 323 (voluntarily causing hurt) and 504 (intentional insult with intent to provoke breach of the peace) 506 (criminal intimidation), and 34 (common intention) of the IPC. Download The Times of India News App for Latest City News."
